 DÉCADA 1950-1959,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-7-1,Toute la memoire du monde (Toda la memoria del mundo),"En veintiún minutos Resnais analiza la Biblioteca Nacional Francesa. “Como tienen la memoria corta, los hombres acumulan numerosos recordatorios”. En este cortometraje, Resnais propone una visita guiada a la Biblioteca Nacional de París y, de su cúpula a sus sótanos, de su sala de catálogos a su sala de lectura, nos revela los bastidores –vedados al público– de está institución del saber. La exploración de los sombríos laberintos de esta inmensa biblioteca es también una manera sutil de evocar los meandros más que sinuosos de la arquitectura mnemónica de los simples mortales que somos, con una cámara hiperactiva va describiendo el espacio con gran destreza.  ","Dominique Raoul-Duval, Phil Davis, Chester Gould, Marie-Claire Pasquier, Denise York, Robert Rendigal, Benigno Caceres, Francois-Regis Bastide, Agnès Varda, Monique Le Porrier, Juliette Caputo, Paulette Barker, André Heinrich, Joseph Rovan, Arthur Rimbaud, Harry Dickson, Blaise Pascal, Émile Zola, Honnecourt, Victor Hugo, Cabot, Enrique II, Carlomagno, Durero, Redon",Francia: París Biblioteca Nacional,1956,Película documental,,"Cartografía, hemerografía, documentos, grabación de campo.","Narración en off, conducción.",,35 mm,
MXIM-AV-1-7-2,Every day except Christmas (Todos los días excepto Navidad),"Every Day Except Crhistmas “Todos los días excepto Navidad” es un documental de 37 minutos filmado en 1957 en el Covent Garden sobre la fruta, verdura y el de las flores. Anderson establece los rituales de la rutina diaria; la carga de los camiones , la unidad de post-media noche por las calles desiertas, los trabajadores del mercado que comienzan lentamente el trabajo de noche, trabajo que realizan 364 días al año. Las verduras y las flores comienzan a llegar y los comerciantes empiezan a colocarlas en sus puestos gradualmente; el ritmo general de la edición recoge como la actividad aumenta y el ritmo de la noche se establece. En un montaje de camiones de carga en la salida del mercado, las actividades han llegado al punto de partida: el día del mercado termina donde comenzó, y la película llega a su fin con una revisión de los rostros de los trabajadores del mercado al que se destina la película.",Covent Garden ,Londres,1957,Película documental,,"Registros fílmicos, grabación de campo, música de época.","Narración en off, conducción",,,
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano ,"Situado en Italia Central se encuentra el pueblo de Rofrano, pobre, desnutrido y alejado de la modernidad.  Este documental muestra los esfuerzos del Instituto Nacional de la Nutrición para llevar a Rofrano educación acerca de cuestiones de alimentación basándose en una investigación del Dr. Sabato Visco director del mismo instituto. A la par de esta problemática podemos presenciar la vida de un pueblo de Italia en los años cincuenta, sus tradiciones, su relación con la agricultura, el trabajo y la economía del país.",,Rofrano,,Película documental,,"Documentales, registros fílmicos, cartografía, testimonios orales, testimonios videorales, publicidad",Narración en off,,VHS,
MXIM-AV-1-7-4,J'ai fait un beau voyage,"En entrevista con Etienne Lalou, Rosselini narra su experiencia en tierras hindúes a medida que se intercalan imágenes que nos hablan de lo que él considera la vida cotidiana de aquel país, cómo se sobrevive y cómo se enfrenta el desarrollo. ",,Bombay,,Película documental,,"Registros fílmicos, testimonios orales, testimonios videorales",,,VHS,
MXIM-AV-1-7-5,Les Maitres fous (Los amos locos),La premisa de este documental es seguir los efectos del colonialismo de los indígenas africanos a través de varios rituales que estos desarrollaron a raíz del sistema colonial. (FILMAFFINITY),,Ghana,,Película documental,,Grabación de campo," Intertítulos, narración en off, conducción, puesta en escena.",,,
MXIM-AV-1-7-6,Mammy Water (Madre del agua),"La vida cotidiana de los pescadores de Fanti, en Ghana, y los rituales para la apertura de la temporada de pesca. (FILMAFFINITY) Mammy Water es un nombre pidgin para una diosa local del agua adorado por los pueblos Ibibio, Ijaw y Igbo del sureste de Nigeria. La diosa del agua tradicionalmente da riqueza, fertilidad, compensa las dificultades y se busca en tiempos de la enfermedad y necesidad, sobre todo por las mujeres. Sus diversos cultos son dirigidos, principalmente, por sacerdotisas. Este aclamado documental muestra numerosos rituales y ceremonias asociadas con la Mammy water, mientras que los devotos ofrecen comentarios. Esta es una representación importante de la fuerza de la religión tradicional en Nigeria contemporánea y una de las pocas investigaciones académicamente sonido del papel de la mujer en un movimiento espiritual africano.",,Nigeria ,,Película documental,,"Cartografía, pinturas, grabación de campo, música de época.","Narración en off, conducción",,16 mm,
MXIM-AV-1-7-7,"Moi, un noir (Yo, un negro)","Cada día, jóvenes similares a los personajes de este film llegan a las ciudades de África. Han abandonado la escuela y el entorno familiar para intentar entrar en el mundo moderno. No saben hacer nada y hacen de todo. Es una de las enfermedades de las nuevas ciudades africanas, la juventud sin empleo. Esta juventud, enclavada entre la tradición y el maquinismo, entre el Islam y el alcohol, no ha renunciado a sus creencias, pero es seducida por los ídolos modernos del boxeo y del cine. Durante 6 meses he seguido a un pequeño grupo de jóvenes emigrantes de Níger en Treichville, suburbio de Abidjan, capital de Costa de Marfil. Les propuse rodar un film donde interpretasen su propio papel, donde tuviesen el derecho de hacer y decir lo que quisiesen"". Jean Rouch. (FILMAFFINITY) ","Lemmi Caution, Edward G Robinson","Costa de Marfil, Treichville, Abidjan, Adjame, Niamey, Nigeria ",1958,Película documental,,"Testimonios orales, grabación de campo","Narración en off, conducción, gráficos",,,
MXIM-AV-1-7-8,Nuit et Brouillad (Noche y niebla)," 
Doce años después de la Liberación y del descubrimiento de los campos de concentración nazis, Alain Resnais entra en el desierto y siniestro campo de Auschwitz. Lentos viajes en color sobre la arquitectura despoblada, donde la hierba crece de nuevo, alternan con imágenes de archivo (en blanco y negro, rodadas en 1944) que reconstruyen la inimaginable tragedia que sufrieron los prisioneros así como las causas y las consecuencias de esa tragedia: desde el advenimiento del nazismo y la deportación de los judíos hasta el juicio de Nuremberg. (FILMAFFINITY)
","Himmles, Hittler, Burger, Stern, Schmulski, Anette, Steyer, Krupp, Heinckel, I. G. Farben, Siemmens, Herman Goering","Stutthof, Oranienburg, Neunengamme, Belzec, Bergen-Belsen, Ravensbruck, Auschwitz-Birkena,  Dachau. Varsovia, Lodz, Praga, Bruselas, Atenas, Zagreb, Odessa, Roma, Pithiviers, Mauthausen, Buchenwald, Hartheim","1933, 1942, 1945",Película documental,,"Registros fílmicos, fotografías, documentos, música de época, grabación de campo.","Narración en off, conducción, gráficos.",,,
MXIM-AV-1-7-9,South of the border in traction,"Una breve revisión sobre los sistemas de transporte urbano público en México, durante el año de 1953. Interurbano Prensa era una editorial pequeña de propiedad privada estadounidense, especializada en libros sobre los tranvías, otras formas de ferrocarril de tránsito y ferrocarriles en América del Norte, a partir de 1943 hasta 1993. Cuando Ira Swett murió en 1975, dejó la compañía a su amigo y colaborador, G. Mac Sebree, que compartió el amor de Swett por el tema y había trabajado profesionalmente como periodista en Albuquerque y todavía estaba trabajando (hasta 1982) para United Press International. Sebree reorganizó la compañía como interurbano de Prensa y contrató compañero Jim Walker como su vicepresidente. En 1981, Interurbano adquirió los derechos de venta al ferrocarril y títulos de libros Trans anglo-americanos occidentales, otro Glendale-basada pequeña prensa  Durante la década de 1980 la empresa también añadió vídeos y calendarios para su línea de productos, que se venden bajo la marca ""Interurbanos Films"".",,"México: Tampico, Guanajuato, Cd. De México, Veracruz, Cuba: La Habana",,,,"Cartografía, música de época, grabación de campo.","Narración en off, conducción, gráficos.",,,
MXIM-AV-1-7-10,We are the Lambeth Boys (Nosotros somos los chicos de Lambeth),"Es una fascinante mirada a la vida cotidiana de los jóvenes de la clase obrera en la Gran Bretaña de la década de 1950. Este documental pionero - parte del movimiento Free Cinema - fue una de las primeras películas que dar a este sector de la comunidad una voz, y sigue siendo un importante e innovador trabajo.",,Londres,,Película documental,,"Grabación de campo, música de época","Intertítulos, narración en off, conducción",,,
MXIM-AV-1-7-11,Guernica,"El corto de 13 minutos comienza con una breve presentación de la ciudad vasca Guernica, y lo que representa históricamente, bombardeada en 1937, dejando dos mil muertos, todos civiles. Rápidamente se hace mención del suceso, balaceras, que lo alcanzan todo, están presentes en todo: la guerra, la destrucción, la muerte provocada sin piedad por los nazis durante el conflicto bélico más grande habido hasta ahora. De una manera muy interesante, deliciosa y a la vez sórdida, a la manera de Resnais, a la vez que nos narra los horrores de esos bombardeos, nos bombardea con dibujos e imágenes surrealistas, oscuras, así como retazos de la pintura de Picasso, recortes periodísticos de la época, narrando todas las atrocidades que tuvo que soportar la ciudad, conectando esas oníricas y surrealistas imágenes con versos que el poeta Paul Éluard compuso a la ciudad mártir. El corto está narrado primero por Jacques Pruvost, luego por la fría y absorbente voz de María Casarès, cuyo solemne relato realza la seriedad del corto, le brinda intensidad. En el final, tras hablar de la muerte, de los sueños y esperanzas rotas, el hombre se yergue, una figura humanoide resalta entre los escombros, y es que, después de todo, la esperanza se abre paso: la inocencia sobrevive al crimen.",Pablo Picasso,España: País Vasco: Vizcaya: Guernica,1902-1949. 26 de abril de 1937. ,Documental,,"Pinturas, documentos, fotografías, música de época, hemerografía","Intertítulos, narración en off, animación. ",,,
MXIM-AV-1-7-12,Le chant du styrene (El canto del estireno),"Resnais analiza en este cortometraje documental el proceso de fabricación de algo tan simple como utilísimo: los objetos de plástico. Un narrador habla sobre el estireno, el poliestireno y sus propiedades, así como de donde viene, qué se fabrica con él, y demás información. Todo ese comentario simpático y divertido en el que ese narrador rima el final de cada frase con la siguiente está escrito por el escritor francés Raymond Quenau.",,Francia,,Documental,,"Grabación de campo, documentos, música de época.","Narración en off,  conducción.",,35 mm,
