 DÉCADA 1960-1969,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Productor ,Distribuidora,Historia Institucional,Reseña biográfica,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-8-1,La pyramide humaine,Les Films de la Pléiade,"Productor: Pierre Braunberger, Director de producción: Roger Fleytoux, Producción ejecutiva: Regie",Mercure distribution,"Fue creada o fundada por Pierre Braunberger en 1945. (Fuente: http://www.technicolorfilmfoundation.org/fr/accueil/partenaires/les-films-de-la-pleiade-et-les-films-du-jeudi.html) La cartelera de esta compañía productora era extensa, producían desde filmes vanguardistas, pasando por filmes netamente comerciales, hasta innovadores trabajos realizados por los directores de la denominada Nueva Ola como Jean Pierre Melville, quien colaboró con Braunberger en la adaptación de la novela El silencio del mar en 1947 y 1948. Les Films de la Pléiade también incursionó en el cine documental, y apoyó al documentalista etnográfico Jean Rouch. A través de esta compañía productora, muchos cineastas franceses, que después alcanzarían fama nacional e internacional, pudieron crecer el ámbito cinematográfico como Alan Resnais, Jean Luc Godard, entre otros. (Fuente: Nelmes, Jill, An introduction to film studies, Routledge, Glasgow, Gran Bretaña, 2003, p. 433)","Jean Rouch nació en Francia el mayo de 1917. Trabajó como ingeniero civil en el afluente del río Níger, en África, en 1941; después comenzó su carrera como cineasta. Fue un cineasta y antropólogo francés, mundialmente reconocido como uno de los cineastas más creativos en la historia cinematográfica del siglo XX. En sus trabajos documentales y cinematográficos siempre trato de encuadrar no sólo aspectos de carácter social, sino todo tipo de “particularidades”, tales como los sueños, la religión, las creencias, la imaginación, y la cotidianidad. En sus más de cincuenta años de carrera como cineasta, Rouch intentó registrar todos estos aspectos en distintos lugares, principalmente en el continente africano y europeo. Junto con Dziga Vertov y Robert Flaherty, fundadores y promotores del cine verité, Rouch es considerado uno de los creadores de una corriente que él llamo cine directo. Esta corriente comprende un cambio en la técnica y en la metodología cinematográfica que trata directamente al sujeto que aparece en pantalla, pretendiendo que interactúe con la cámara y no que la ignore, y pretendiendo también que la figura del director/realizador/camarógrafo tampoco sea ignorada por el sujeto que está en encuadre. Una técnica que la Antropología adoptó para la metodología de sus diversos estudios, y que posteriormente se denominó como Antropología Visual(Fuente: Gaspar de Alba, Rosa Elena, “Jean Rouch: El cine directo y la Antropología Visual”, Revista de la Universidad de México, México, 2005, pp. 96-98)",,
MXIM-AV-1-8-2,Tire Dié,Instituto de Cinematografía de la Universidad Nacional del Litoral, ,Edgardo Pallero," Instituto de Cinematografía de la UNL  creado en 1957 y que generó la posibilidad de hacer cine y formar gente en la ciudad de Santa Fe. La originalidad del proyecto del Centro de Producción de Cine y Video así como del  Taller de Cine consiste en la íntima relación entre la formación y la producción. A diferencia de aquel Instituto de Cinematografía que era sólo documental,  esta articulación permite la realización de filmes de ficción. http://www.unl.edu.ar/categories/view/centro_de_produccion_de_cine_y_video#.VPnrDHyUerg","Fernando Birri (13 de marzo 1925, ciudad de Santa Fe, Argentina) es un cineasta y teórico argentino. Es conocido como el padre del nuevo cine latinoamericano. Luego de haber incursionado en el teatro y en la poesía en su ciudad natal, fue a estudiar a Roma al Centro Sperimentale di Cinematografía, de 1950 a 1953. En 1956 regresó a Santa Fe, para fundar el Instituto de Cinematografía de la Universidad Nacional del Litoral. Realizó su primera película en la Escuela Documental de Santa Fe, se trata del cortometraje Tire Dié. Fue el fundador de la Escuela Internacional de Cine y Televisión de San Antonio de Los Baños de Cuba, de la que también fue director. (http://es.wikipedia.org/wiki/Fernando_Birri)",Donación UNAM,10/10/2001
MXIM-AV-1-8-3,A Valparaiso,"Argos Films, Cine experimental de la Universidad de Chile, Universidad de Chile","Anatole Dauman, Phillippe Lifchitz, Producción ejecutiva: Luis Cornejo",,"En 1951, Anatole Dauman fundó la compañía productora Argos Films, en colaboración con Philippe Lifchitz. Esta compañía jugó un papel esencial en la formación de los cineastas franceses que con el tiempo serían clasificados dentro de una corriente cinematográfica llamada La Nueva Ola, gracias a esta compañía cineastas como Alain Resnais, Jean Luc Godard, Robert Bresson, Chris Marker, entre otros, tuvieron la oportunidad de realizar sus trabajos cinematográficos. Dentro de la producción de Argos Films hay todo género de producciones cinematográficas, desde cortometrajes hasta largometrajes, principalmente inspirados en el trabajo del documentalista italiano Luciano Emmer. (Fuente: http://www.mrmovietimes.com/celebrity/anatole-dauman.html, http://www.allmovie.com/artist/anatole-dauman-p86783, http://en.wikipedia.org/wiki/Night_and_Fog_(1955_film), http://www.filmaffinity.com/es/film133039.html)","Joris Ivens nació en Holanda a finales del siglo XIX, en 1898. Fue un destacado documentalista, en cuyas obras influyeron profundamente los trabajos de Dziga Vertov, Serguéi Eisenstein y Robert Flaherty, con quienes, además, trabajó muy cerca. En los años veinte, el trabajo artístico-documental de Joris Ivens primero incursionó en la Unión Soviética, donde se dice que adquirió sus bases ideológico políticas, es por ello que podemos ver filmes que resaltan los avances del comunismo. Más tarde, en 1933, filmó en Bélgica un documental dedicado al registro de una huelga de mineros, intitulada “Boragine”. Gracias a su labor fílmica-artística-documental fue galardona con el premio de Paz Internacional en 1954. En la década de 1960, centró su atención en el conflicto armado norteamericano en Vietnam, reflejado en sus películas Carnet de viaje: Pueblo en armas, Viêt Nam y Lejos de Vietnam; también dedicó gran parte de su trabajo a la docencia, principalmente en las aulas de los distintos países que conforman la zona latinoamericana: como Chile, Cuba, México, entre otros. Durante su estancia en Chile, tuvo la oportunidad de conocer a personajes destacados en la historia contemporánea de ese país como el presidente chileno Salvador Allende, el poeta Pablo Neruda, al cineasta, en ese momento muy joven, Patricio Guzmán, etc.; lo que le ofreció la oportunidad para realizar un filme documental llamado A Valparaíso, en el año de 1963. (Fuente: http://www.bifurcaciones.cl/2012/12/joris-ivens-valparaiso-entre-la-poesia-y-la-critica/2/, http://tierraentrance.miradas.net/2010/05/ensayos/el-aporte-de-joris-ivens-al-cine-documental-latinoamericano.html, http://es.wikipedia.org/wiki/Joris_Ivens)",,
MXIM-AV-1-8-4,Skizbe,,,,,,,
MXIM-AV-1-8-6,Chiefs (Jefes),,,,,"""Richard Leacock Nació en Londres el 18 de julio de 1921. Vivió la mayor parte de su infancia en algunas de las plantaciones bananeras ubicadas en las Islas Canarias, de las cuales su padre era propietario. Más tarde, Leacock cursó sus estudios primarios en Inglaterra, aunque su vida en Islas Canarias fue la que realmente marcó su perspectiva cinematográfica. Su incursión en la cinematografía comenzó a los 14 años, cuando filmó un cortometraje (10 min, 16 mm, silente) en el que pretendía mostrar el modo de vida en las plantaciones bananeras de las Islas Canarias. Sus cualidades lo llevaron también a tomar registro de la vida de las aves en las Islas Galapagos, colaborando como asistente del ornitólogo David Lack. Posteriormente, a principios de la década de 1940, viajó a los Estados Unidos, en donde se dedicó a cursar estudios sobre cinematografía propiamente; mientras colaboraba como camarográfo y asistente de edición en el filme The hear your banjo play (1941), un filme documental que registró la organización de un festival de música folklórica realizado en el sur de Virginia. Tres años más tarde, en 1944, Leacock viajó a Burma y China para realizar un trabajo como fotógrafo de guerra; catorce meses después, retornó a trabajar como camarógrafo en un filme dirigido por el afamado Robert Flaherty intitulado Louisiana story. Durante el resto de la década colaboró en distintos trabajos fílmicos como camarográfo y asistente de edición. En 1954, Leacock filmó, dirigió y editó la película Toby and the fall corn, un suplemento que le pidieron para un programa cultural de televisión llamado Omnibus, a través de Robert Drew, en ese entonces editor de la revista Life. En ese mismo año, con ayuda de las técnicas aprendidas durante su trabajo como fotógrafo-corresponsal de guerra, trabajó como camarográfo para un filme intitulado Jazz Dance, en el cual registró la manera en la cual la gente se ponía a bailar en un centro nocturno en Estados Unidos. Al comienzo de la década de 1960, Leacock colaboró de nueva cuenta con el editor de la revista Life, Robert Drew, para hacer una película sobre la campaña presidencial de John F. Kennedy, llamada PRIMARY. (Fuente: http://richardleacock.com/About-Richard-Leacock)",,
MXIM-AV-1-8-7,Chronique d'un été,"Argos Films, Comité du Film Ethnographique-Musée de L'Homme París",André Heinrich,Anatole Dauman,"En 1951, Anatole Dauman fundó la compañía productora Argos Films, en colaboración con Philippe Lifchitz. Esta compañía jugó un papel esencial en la formación de los cineastas franceses que con el tiempo serían clasificados dentro de una corriente cinematográfica llamada La Nueva Ola, gracias a esta compañía cineastas como Alain Resnais, Jean Luc Godard, Robert Bresson, Chris Marker, entre otros, tuvieron la oportunidad de realizar sus trabajos cinematográficos. Dentro de la producción de Argos Films hay todo género de producciones cinematográficas, desde cortometrajes hasta largometrajes, principalmente inspirados en el trabajo del documentalista italiano Luciano Emmer. (Fuente: http://www.mrmovietimes.com/celebrity/anatole-dauman.html, http://www.allmovie.com/artist/anatole-dauman-p86783, http://en.wikipedia.org/wiki/Night_and_Fog_(1955_film), http://www.filmaffinity.com/es/film133039.html)","Jean Rouch (31 de mayo de 1917 - 18 de febrero de 2004) era un cineasta y antropólogo francés. Su larga relación con los temas africanos empezó en 1941 después de trabajar como ingeniero civil supervisor de un proyecto de construcción en Níger. Poco después volvió a Francia para participar en la [Resistencia francesa]. Después de la Segunda Guerra Mundial, trabajó temporalmente como periodista con la Agencia France-Presse antes de regresar a África en donde trabajó como antropólogo influyente y un cineasta a veces polémico. Autor de documental etnográfico desde los años 1950 hasta 1980. (http://es.wikipedia.org/wiki/Jean_Rouch) Edgar Morin: Filósofo y político francés de origen judeo-español (sefardí), nacido en París el 8 de julio de 1921, su nombre anterior era Edgar Nahum. Al integrarse a la Centro Nacional de Investigación Científica (CNRS), Morin se inicia en el campo de la antropología social en el terreno de la cinematografía, aproximándose al surrealismo, aunque todavía no abandonando el socialismo, del cual comparte ideas con Franco Fortini y Roberto Guiducci, así como de Herbert Marcuse y otros filósofos. (Extraído de http://es.wikipedia.org/wiki/Edgar_Morin) En 1959 publica un manifiesto a favor de un nuevo cinéma vérité y, durante 1960, rueda la película “Chronique d’un été”. http://www.edgarmorin.com/Default.aspx?tabid=57",Donación,
MXIM-AV-1-8-8,Comizi d´amore,Arco film,Alfredo Bini,,,"Pier Paolo Pasolini Nació en Borgoña, Italia, en el año de 1922. Es considerado como uno de los poetas e intelectuales italianos más productivos y talentosos de la segunda mitad del siglo XX. En 1937, Pasolini comenzó sus estudios en Historia del arte en la Universidad de Boloña, donde publicó sus primeros artículos en un revista estudiantil llamada Arquitrave, publicación mensual orientada a estudios de carácter político literario. En 1942, publicó su primer libro de poesía llamado Poesia a Casarsa, con financiamiento propio. Durante la década de 1940, trabajó como docente en una institución educativa en Roma. Debido a que atravesaba por una difícil situación económica, decidió dedicarse a la docencia en una institución educativa en Roma; su estancia en esta ciudad le permitió conocer la realidad de la vida proletaria italiana, sobre la cual escribió una novela que terminó publicándose en el año de 1959 llamada Una vita violenta. Esta experiencia provocó que se uniera al partido comunista de su país, una tendencia político ideológica que marcó su vida artística e intelectual, pues—dice Alberto Moravia—Pasolini creía fielmente que la organización del proletariado sacaría adelante al mundo con toda su “frescura, incorruptibilidad, y originalidad”. Durante la década de 1950, Pasolini se dedicó a la actuación, en donde aprendió un poco del oficio teatral, lo que le ayudó a redactar algunos guiones. En 1961, Pasolini debuta como director, en su filme Accatone, un trabajo fílmico sobre su novela, Una vita violenta. Posteriormente filmó Mama Roma (1962), filme en el cual aborda, con bastante realismo, el tema de la prostitución en la capital italiana. A decir verdad, a partir de la década de 1960, Pasolini se dedicó fehacientemente a la dirección y producción cinematográfica. De hecho, fue a mediados de esta década cuando adquirió mayor popularidad, incluso a nivel internacional, en el ámbito cinematográfico. Durante este período dirigió las siguientes películas, muchas de ellas adaptaciones de importantes obras literarias: RoGoPaG (1963); Il vangelo secondo matteo (1964), filme por el cual obtuvo un premio en el Festival Cinematográfico de Venecia; Edipe Re (1967), Teorema (1968); Porcile (1969); Il Decameron (1971); The Canterbury tales (1973), y Il fiore delle mille e una notte (1973). En su obra cinematográfica, Pasolini intentó combinar temas de distinta índole, como el realismo con los conceptos de revolución, sexualidad, violencia y sadismo. La obra de Pasolini impulsó la carrera de muchos actores como Christopher Bram, James Purdy, Yukio Mishima, entre otros. (Fuente: http://www.pierpaolopasolini.com/bio.htm)  En 1960 fundó la productora Arco Films , que comenzó su negocio con la bella Antonio , dirigida por Mauro Bolognini , tomado de la novela del mismo nombre por Vitaliano Brancati . El mismo ministro Alberto Folchi trató de disuadir a Bini de abordar un sujeto en riesgo de controversia como el de la impotencia masculina.
En esta primera fase de su carrera, Bini se centra especialmente en películas de arte, haciendo su debut en 1961, Pier Paolo Pasolini con Tramp , y la producción de todas sus películas hasta Edipo Rey de 1967. Los temas religiosos tratados por el autor en Ricotta y El Evangelio según Mateo provocan intentos de censura, que el fabricante lleva una firma, seguro de sus opciones.
Cuando en 1969 el Satyricon de Gian Luigi Polidoro es acusado de obscenidad, Bini responde incluso en publicaciones que tiene el deber cívico, la defensa de cine italiano profesional y política como un panfleto contra la represión película oscurantista.
De hecho, cuando se produce Satyricon, Bini ya ha abandonado la política de producción más valiente, innovadora y de investigación que se ha prolongado durante casi una década, a favor de un cine a la moda, provocativo en una superficial e inofensivo, no problemático. Este profundo cambio está bien representado por el fin de la relación con Pasolini y la última producción de Arco Film (y antes Finarco, activo activo hasta 1973 ), Bora Bora de Ugo Liberatore , ejemplo perfecto del tipo de ambiente exótico erótico.
Simultáneamente con la actividad Finarco, Bini también otras dos compañías de menor importancia, el sonido de Jericó (1969 - 1975) y New Line Films (1970 - 1974). 
En esta segunda fase de su carrera pertenecen las películas dirigidas por Ugo Liberatore y Piero Vivarelli ( El dios serpiente , El Decamerón Negro , Código de amor del Este ). La única producción de un nivel comparable al período Arco es Lancelot y Guinevere de Robert Bresson .
El 6 de agosto de 1994 fue nombrado comisario del Cine Centro Experimental .  permanece en el cargo hasta el 31 de diciembre de 1995 .
El 28 de noviembre 2008 fue galardonado con el tiempo de vida requerido por ley Bacchelli . 
Murió el 16 de octubre de 2010 el hospital en Tarquinia , donde fue hospitalizado por varios días.",,
MXIM-AV-1-8-9,Don't look back (No mires atrás),,"John Curt, Albert Grossman",,,"D.A. Pennebaker Nació en Illinois, Estados Unidos en julio de 1925. Durante su juventud, estuvo de servicio en la Marina, después se graduó como ingeniero en electrónica por la Universidad de Yale. Influenciado por el cineasta Francis Thompson, en 1953, Pennebaker dirigió su primer filme, un cortometraje titulado Daybreaker Express, cuya duración es de cinco minutos, y registra las obras de construcción que se llevaron a cabo en la Tercera Avenida (en la ciudad de Nueva York), para la construcción de una estación de metro, musicalizado por Duke Ellington. Años después, concretamente en el año de 1959, en colaboración con el cineasta Richard Leacock y el editor de la revista LIFE, Robert Drew, forman Drew Associates, una compañía cuyo objetivo principal era realizar documentales para un programa de televisión llamado “Living Cinema”, producido por Time-Life, que tenía como tema abordar las historias de vida tanto de individuos renombrados como de personas cuya existencia ha quedado disuelta entre los pliegues de la cotidianidad. En 1963, junto con Robert Leacock, Pennebaker dejó la Drew Associates, y ambos fundaron otra asociación productora llamada Leacock-Pennebaker Inc. En esta compañía, Pennebaker dirigió y produjo una veintena de cortometrajes durante la primera mitad de la década de 1960. En 1967, Albert Grossman, manager del afamado cantautor Bob Dylan, contactó a Pennebaker para que filmara a Dylan durante su gira en Europa, el resultado fue un filme documental titulado Dont Look Back, que marcó un parteaguas en el ámbito fílmico y en la historia del rock. Este filme catapultó a Pennebaker a la fama internacional, además de considerársele como un precursor de los videoclips musicales que alcanzaron fama a finales de la década de 1970. A partir de este momento, la mayor parte del trabajo documental realizado por Pennebaker se centró en la escena del rock. Después de haber realizado Don't Look Back, Pennebaker fue contratado para realizar un registro fílmico documental de un festival de música llamado Monterey Pop Festival (1968), cuyo nombre sirvió para titular el documental mismo; en este trabajo, Pennebaker tuvo la oportunidad de filmar en escena a varios artistas, considerados hoy como grandes exponentes del rock de la década de 1960, como Jimi Hendrix, Janis Joplin, la banda Jefferson Airplane, entre otros. A finales de la década de 1970, Pennebaker conoció a la documentalista Chris Hegedus, con quien posteriormente contrajo matrimonio, y formó una compañía fílmico-productora llamada Pennekaber Hegedus Films. Juntos, Pennebaker y Hegedus, realizaron numerosos filmes documentales, algunos enfocados a registrar el ámbito político de Estados Unidos (como el filme dedicado a seguir la campaña presidencial de Bill Clinton (1992), el cual fue premiado como Mejor Documental); aunque la mayor parte de los filmes estuvieron dedicados a registrar la escena artística y musical de Estados Unidos. Fuente: http://movies.yahoo.com/person/da-pennebaker/biography.html, http://en.wikipedia.org/wiki/D._A._Pennebaker, http://phfilms.com/index.php/phf/history/, http://phfilms.com/index.php/phf/history/, http://phfilms.com/index.php/phf/people/d_a_pennebaker",,
MXIM-AV-1-8-10,Menq ,Yerevan Film Studio,,,,,,
