 DÉCADA 1970-1979,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Distribuidora,Productor,Historia Institucional,Reseña biográfica,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),World Film Corporation,,,,"En 1911 Edward crea su propia compañía cinematográfica, para producir una serie de documentales en los que se reflejaría la vida de las distintas tribus. El único que llegó a producir se centró en los Kwakiutl. Pensando en montar una grandiosa recreación de su cultura, les encarga que esculpan y pinten máscaras, vistosos postes de tótems, grandes piraguas, artefactos y los vestidos solían llevar antes del contacto con el hombre blanco. Una vez organizados todos los preparativos para esa “fiesta de disfraces”, en 1914 se dispone a filmar junto con su talentosa hija Beth. En esta película apunta claramente uno de los aspectos más discutibles de su trabajo: en lugar de reflejar la realidad existente, lo que Curtis pretendía era rodar un falso documental, imaginando cómo habría sido la vida de los nativos antes del nefasto contagio de la civilización. Para ello, no encuentra reparo alguno en pagar a los hombres para que se afeiten el velo facial y se pongan pelucas y anillos en la nariz. Entre las muchas licencias que se tomó, hay una que mueve especialmente a la risa: “alquiló” una ballena muerta para una espectacular escena de caza, aunque lo cierto es que los Kwakiutlno comían carne de estos grandes cetáceos. Parece que ellos no les importó la mistificación: estaban encantados con los dólares de plata que les daba Curtis, y con la posibilidad de recrear sus ceremonias tradicionales, que estaban prohibidas.",,
MXIM-AV-1-9-2,Acting in Turn,Shell International Petroleum Co. Ltd.,,George Seager,,,Donación,1999
MXIM-AV-1-9-3,Appunti per un´Orestiade africana,"IDI Cinematográfica, RAI, I Film Dell´Orso",,Gian Vittorio Baldi,,,,
MXIM-AV-1-9-4,Aurelia Steiner,Paris Audiovisuel,,Paulo Branco,,,,
MXIM-AV-1-9-5,Canciones para después de una guerra,,,Julio Pérez Tabernero,,,,
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,Instituto Cubano del Arte e Industria Cinematográficas,,Sergio San Pedro,"Conocido internacionalmente por la sigla ICAIC, el Instituto Cubano de Arte e Industria Cinematográficos fue creado apenas a 83 días del triunfo de la Revolución Cubana, lo que pone de manifiesto la preocupación del nuevo gobierno por la cultura artística y, específicamente, por el cine. Pero aún más, el ICAIC posee un peso notable en toda la vida cultural del país y su trabajo ha irradiado a otras manifestaciones, como la música y la plástica, en donde se han realizado aportes sustanciales. (http://www.cubarte.cu/global/loader.php?&cat=directorio&cont=showitem.php&id=82&tabla=directorio)",,,
MXIM-AV-1-9-7,Historia de un documento,Le service de la recherche de l´O.R.T.F.,Ediciones Pentagrama,,,,,
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,Equipo Tercer Año,,"Patricio Guzmán Patricia Boero, Alicia Crespo, Jorge Sánchez",,“La Batalla de Chile” es un documental histórico que en las décadas de los 70 y 80 fue distribuido en 35 países del mundo. No es un filme de archivo: es un documento filmado en el momento mismo de producirse los hechos. Su autor y director trabajó con un equipo en medio de los acontecimientos. El material virgen (película de l6 MM en blanco y negro) fue una contribución del documentalista francés Chris Marker y el montaje se realizó gracias a la colaboración del Instituto de Cinematografía Cubano (ICAIC). Jorge Müller Silva (el cámara del filme) fue secuestrado por la policía militar de Pinochet en noviembre de 1974. Hasta hoy se desconoce su paradero. Es uno de los 3.000 desaparecidos que todavía hay en Chile. “La Batalla de Chile” ha sido objeto de la censura en Chile y nunca ha sido emitida por la televisión pública.,,
MXIM-AV-1-9-9,El golpe de Estado,Equipo Tercer Año,,Patricio Guzmán,,,,
MXIM-AV-1-9-10,L´Ambassade (La embajada),,,,,,,
MXIM-AV-1-9-11,La hora de los cerdos,Instituto Cubano del Arte e Industria Cinematográficas,,Santiago Álvarez,"Conocido internacionalmente por la sigla ICAIC, el Instituto Cubano de Arte e Industria Cinematográficos fue creado apenas a 83 días del triunfo de la Revolución Cubana, lo que pone de manifiesto la preocupación del nuevo gobierno por la cultura artística y, específicamente, por el cine. Pero aún más, el ICAIC posee un peso notable en toda la vida cultural del país y su trabajo ha irradiado a otras manifestaciones, como la música y la plástica, en donde se han realizado aportes sustanciales. (http://www.cubarte.cu/global/loader.php?&cat=directorio&cont=showitem.php&id=82&tabla=directorio)",,,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),Les Films Etienne Lallier,,Jean-Marie Bertrand,,,,
MXIM-AV-1-9-13,Le fond de l´air est rouge,,,Iskra Ina Dovidis,,,,
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),,,Johan Van Der Keuken,,,,
MXIM-AV-1-9-15,Los Albañiles,Centro Universitario de Estudios Cinematográficos (CUEC)-Taller de Cine Octubre,,,"CUEC: El Centro Universitario de Estudios Cinematográficos (CUEC) de la Universidad Nacional Autónoma de México (UNAM) es la escuela de cine más antigua de América Latina y una de las más prestigiadas del mundo. El CUEC nació en 1963, en una época en que la Universidad vivía la influencia del cine francés a través de los cine clubes y existía una inquietud enorme por reactivar una industria cinematográfica cuyos temas estaban agotados y sus creadores, estancados. Así, el CUEC, con un espíritu crítico, analítico y libre, inició su labor formativa de cineastas que han impactado los medios audiovisuales, tanto locales como internacionales, con su talento y creatividad. No se puede explicar el cine mexicano de los últimos treinta años sin la participación del CUEC. El plan de estudios se encuentra dividido en dos niveles, el básico y el superior. En el nivel básico el estudiante conoce las diversas áreas que se involucran en la producción cinematográfica para que pueda elegir, posteriormente, entre las dos áreas del nivel superior: la artística conceptual, dirigida a directores, guionistas y productores, y la artístico técnica, dirigida a cinefotógrafos, sonidistas, directores de arte y montajistas. Durante la carrera, un estudiante puede filmar hasta 6 ejercicios fílmicos, de ficción y documental,  en formatos que van desde el cine digital hasta 35 mm. Este esfuerzo se refleja en el Programa de Opera Prima, que permite a sus egresados la realización e un largometraje profesional financiado por la Universidad y el Instituto Mexicano de Cinematografía, dentro del cual han debutado, hasta la fecha, decenas de egresados en las diversas áreas de creación en las seis películas que se han producido por este medio. Por estas, y muchas otras razones, el CUEC es y seguirá siendo, el referente obligado en cuanto a la formación y generación de cineastas en América Latina. (http://www.cuec.unam.mx/)",,,
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),SLON,,Chris Marker,,,,
