DÉCADA 1960-1969,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-8-1,La pyramide humaine,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-8-2,Tire Die,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd,copia,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-8-3,A Valparaiso,Usos reservados para consulta in situ,,"Francés, Español",,,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-8-4,Skizbe,Usos reservados para consulta in situ,,Armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-8-5,Menq,Usos reservados para consulta in situ,,Armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-8-6,Chiefs,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-8-7,Chronique d'un été ,Usos reservados para consulta in situ,,Francés,,"Inglés, español",DVD,2 dvd/1 vhs,copias,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-8-8,Comizi d´amore (Encuesta de amor),Usos reservados para consulta in situ,,Italiano,,Español,DVD,1 dvd ,copia,Color,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-8-9,Don´t look back,Usos reservados para consulta in situ,,Inglés,Español (España),Español,DVD,1 dvd ,copia,Blanco y negro,Stereo,,,Reproductor DVD y monitor
MXIM-AV-1-8-10,Menq ,Usos reservados para consulta in situ,,,,,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana ,Usos reservados para consulta in situ,,Italiano,,,,,,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-8-12,Hanoi  Martes 13,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,copia,Blanco y negro,Monoaural,NTSC,,reproductor VHS y monitor
MXIM-AV-1-8-13,Hasta la victoria siempre/Hanoi/Now,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copia,Blanco y negro,Monoaural,NTSC,,reproductor VHS y monitor
MXIM-AV-1-8-14,Jaguar,Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-8-15,La Chasse au lion à l´arc,Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir (La direccion de actores),Usos reservados para consulta in situ,,Francés,,Español,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-8-17,La hora de los hornos,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia,Blanco y negro virado a azul,,,,Reproductor VHS y monitor
MXIM-AV-1-8-18,La jetée,Usos reservados para consulta in situ,,Inglés-Francés,,Español,DVD,2 dvd ,copias,"Blanco y negro, color",Monoaural,NTSC,,
MXIM-AV-1-8-19,Heracles,Usos reservados para consulta in situ,,------,,Español,DVD ,1 dvd,copia,Blanco y negro,,NTSC,Región 2,Reproductor DVD y monitor
MXIM-AV-1-8-20,La punition,Usos reservados para consulta in situ,,Francés,,,DVD,,,Blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-8-21,Law and order,Usos reservados para consulta in situ,,Inglés ,,Español,DVD,,,"Blanco y negro, color",,,,Reproductor DVD y monitor
MXIM-AV-1-8-22,Les années folles (Los años locos),Usos reservados para consulta in situ,,Español (ibérico),,,VHS / DVD,1 dvd / 1 vhs,copias,Blanco y negro,,,,
MXIM-AV-1-8-23,"Un lion nommé ""l´américain"" (Un leon llamado ""El americano"")",Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-8-24,México bárbaro,Usos reservados para consulta in situ,"Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862",Español,,,DVD,1 dvd ,copia de producción,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-8-25,Morir en Madrid,Usos reservados para consulta in situ,,Francés,,Español,VHS /DVD,2 vhs / 1 dvd ,1 vhs copia de producción / 1 vhs y 1 dvd copias,Blanco y negro,Estéreo,NTSC,,
MXIM-AV-1-8-26,"¡Muerte al invasor!, Reportaje especial sobre la agresión imperialista al pueblo de Cuba",Usos reservados para consulta in situ,,Español,,,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-8-27,Now!,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,Blanco y negro,Monoaural,NTSC,,reproductor VHS y monitor
MXIM-AV-1-8-28,Últimas palabras,Usos reservados para consulta in situ,,Griego,,Español,DVD ,1 dvd,copia,Color,,NTSC,Región 2,
MXIM-AV-1-8-29,Rumänien. Totenklage in Desa,Usos reservados para consulta in situ,,,,,VHS / DVD,1 vhs / 1 dvd,Copia,Blanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-8-30,Reportaje especial sobre la II Declaración de La Habana aprobada por el pueblo en Asamblea General,Usos reservados para consulta in situ,,"Español, alemán",,español,DVD,,,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-8-31,Steam in Mexico,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,,,,,
MXIM-AV-1-8-32,Terminus,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd / 1 vhs,copia,Blanco y negro,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-8-33,The Saturday Men,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,Blanco y negro,,,,
MXIM-AV-1-8-34,Comando 52,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
