 DÉCADA 2010-2019,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión","En los estudios sobre las familias del México contemporáneo, sus diversidades y transformaciones, siempre aparecen los medios de comunicación y la televisión como un referente ineludible. La televisión comercial se concibe como una forma de ilustrar ""realidades"" y un ""competidor desleal"" que quienes cuidan y educan a niñas, niños y jóvenes. En respuesta a esa inquietud, Iniciativa Ciudadana y Desarrollo Social, INCIDE Social A.C. y el Laboratorio audiovisual de Investigación Social del Instituto Mora nos preguntamos: ¿Qué representaciones sobre las familias difunden la televisión comercial abierta y de paga? Este material invita a que reflexionemos sobre cómo son representadas las familias, sus relaciones, sus integrantes, las tomas de decisión en su interior, los problemas que tienen y cómo se vinculan a sus contextos.",,"México, Estados Unidos",,Película documental,,"Programas de TV, música de época","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo trata sobre La ""Población callejera"" que vive en lugares marginales de la Ciudad de México.","Víctor Ronquillo (reportero y director), Luis Enríque Hernández (El Caracol), José Isaías (habitante de la calle), Francisco Grímaldo (Comité de vecinos de la unidad Candelaria), Sandra Bonilla (habitante de la calle), El Maya (habitante de la calle), El Mayita (habitante de la calle), El Media vida (habitante de la calle), Marlene (habitante de la calle), Lázaro (habitante de la calle), Carlos Alberto Cruz Santiago (Cauce ciudadano), Jaime Teodoro (habitante de la calle), Israel Guevara (habitante de la calle),  Fernando (habitante de la calle), Antonio Hernández (habitante de la calle), ","México: Ciudad de México: La Merced, Tepito, Plaza del estudiante, Candelaria de los Patos, Tacuba",2011,Programa de televisión documental,,"Testimonios videorales, grabación de campo, entrevistas, música de época, fotografías","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-3,Nosotros… los otros. Nuestros viejos (adultos mayores),"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capitulo trata sobre las  condiciones  y el trato que reciben ""Nuestros viejos (adultos mayores)"". ","Víctor Ronquillo (reportero y director), Sebastián Rivas adulto mayor), Genaro Castañerda (adulto mayor) Gloria Torres (adulto mayor), Genaro Ortiz (adulto mayor), Enedina Saldiernas (adulto mayor), Esther Rodriguez (adulto mayor), Margarita Pérez (adulto mayor), Armando Viveros (adulto mayor), María Pilar de Aviego (ComParTe), Graciela Casas Torres (investigadora del tema adultos mayores de la Escuela de Trabajo Social, UNAM), Estrella Topete (Trabajo social, UNAM), Rosaura Ávalos (Trabajo social, UNAM), Leticia Cervantes (Trabajo Social, UNAM), Silvia Chagoyán (adulto mayor), Fernando Pegueros (adulto mayor)","México: Ciudad de México: Tepito, Facultad de Trabajo Social UNAM.",2011,Programa de televisión documental,,"Testimonios videorales, grabación de campo, entrevistas, música de época, fotografías","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo trata sobre las personas que contraen enfermedades de transmisión sexual, y como es su ""Vivir con VIH/SIDA""","Víctor Ronquillo (reportero y director), Georgina Gutiérrez (Movimiento Mexicano de Ciudadanía Positiva), Alejandro Brito (Letra S), Laura Hernández (abogada Letra S), ",México: Ciudad de México,,Programa de televisión documental,,"Testimonios videorales, grabación de campo, entrevistas, música de época, fotografías, publicidad","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo aborda el tema de la migración, da cuenta del trayecto de ""Los Migrantes"" en su paso diversas localidades de México. ","Víctor Ronquillo (reportero y director), Jaime Pochoteco Nava (migrante), Federico de los Santos (migrante),  Ernestina de los Santos (migrante), Ernesto Florentino (habitante de Guadalupe Tonaya, Guerrero), Castro Solano (habitante de Guadalupe Tonaya, Guerrero), Zeferina Moreno (habitante de Cochoapa, Guerrero),  Antonio García (esposo de Zeferina Moreno),  José Rubio Villegas (habitante de Tlapa, Guerrero), Rosa Villano (habitante de San Miguel Tototepec, Guerrero), Álvaro Cano (habitante de San Miguel Tototepec, Guerrero), Paulino Rodríguez (Tlachinollan), Manuel Martínez (migrante), Miguel Martínez (Chiepetepec, Guerrero), Aberl Barrera (defensor de los derechos de migrantes), "," México: Guerrero: Tlapa, Guadalupe tonaya, Cochoapa, San Miguel Tototepec. Baja California: Tijuana. Estados Unidos. Centroamérica: Honduras, El Salvador, Guatemala. Veracruz: Orizaba. Hidalgo: Pachuca. ","1980, 2009, 2010, 2011, 1994",Programa de televisión documental,,"Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo aborda el tema de la ""Discapacidad""","Víctor Ronquillo (periodista), Efrén Acevedo (víctima de discriminación), Rosa María Pérez (Comité Internacional Pro Ciegos), Sara Luz Ríos Soria (Comité Internacional Pro Ciegos), Federico Fleischmann (Libre Acceso), Abigail Hernández (Confe), Karime Castillo (víctima de discriminación),  Gabriela Martínez (Confe), Lizeth Ramírez (Comité Internacional Pro Ciegos), Miguel Ángel Zempoalteco (Comité Internacional Pro Ciegos), Alfredo Nieto Mendoza (persona con discapacidad visual)",México: Ciudad de México. ,,Programa de televisión documental,,"Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo aborda la condición de las  ""Mujeres"" en la sociedad moderna. ","Víctor Ronquillo (reportero y director), Thelma Chavéz (víctima de discriminación), Vicenta Elena Garza (víctima de discriminación), Elba Maldonado (víctima de discriminación), Carmen Méndez (víctima de discriminación),  Anabel López Sánchez (Instituto de la mujer oaxaqueña), Ricardo Bucio (CONAPRED),  Jessy Bulbo (cantante), Lizeth Zépeda (víctima de discriminación), Vicky Téllez (víctima de discriminación), Ángeles Carpinteiro (víctima de discriminación), Verónica Navarro (Mujeres aportando a Mujeres, MAM)",México: Oaxaca. Ciudad de México:  Museo José Luis Cuevas. Chihuahua: Ciudad Juárez. Estado de México. Guanajuato. ,"enero 2009-enero 2010, enero 2007, octubre 2010",Programa de televisión documental,,"Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo trata sobre la vida laboral de ""Las Trabajadoras del Hogar"". ","Víctor Ronquillo (periodista), María Isidra Llanos (trabajadora doméstica), Candelaria Torres (trabajadora doméstica),  Isabel Isidro (trabajadora doméstica), Gloria Hernández (trabajadora doméstica), Sofía Rubio (trabajadora doméstica), Doris Villanueva (trabajadora doméstica), Juan Soriano, Marcelina Bautista (CACEH), Julia Arnaut y Minerva Valenzuela (actrices), ",México: Ciudad de México: CENART,,Programa de televisión documental,,"Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación",,,
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discriminación,"El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie ""Nosotros…los Otros"",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo es una intensa reflexión sobre los ""Espacios de la discriminación""","Víctor Ronquillo (periodista), Rocardo Bucio (Consejo Nacional para Prevenir la Discriminación),  Thelma Chávez (víctima de discriminación),  Juan Antonio Vega (Investigador, Trabajo social, UNAM), Genaro Castañeda (víctima de discriminación),  Magali Vargas (víctima de discriminación), Guadalupe Vargas (Presidente municipal Santiago Tapextla, Oaxaca), Gloria Hernández (víctima de discriminación), Doris Villanueva (víctima de discriminación), Jaime Pochoteco (víctima de discriminación), Marina (víctima de discriminación), Sandra Bonilla (víctima de discriminación),  Efrén Acevedo (víctima de discriminación), Angie Rueda Castillo (víctima de discriminación), Alondra Ávila Veles (víctima de discriminación), Corina Benjef (Instituto Nacional de Psiquiatría), Néstor Ruiz (Organización EPOCA),  Verónica Navarro (Mujeres Aportando a Mujeres),  Melissa Mijangos B. (Conquistando Corazones), Lolkin Castañeda (Acciona), Marcelina Bautista (Centro de apoyo y Capacitación para Empleadas del Hogar), Georgina Gutiérrez (Movimiento Mexicano de la Ciudadanía Positiva),  Alejandro Brito (Letra S), María Pilar de Avíego (ComParTe), Edgar Hugo Mayoral (joven), Eli Sama (joven)","México: Oaxaca: Ciudad de Oaxaca, Tecoyame. Hidalgo: Santa Ana Tzacuala. Ciudad de México: Barrio de Tepito, Museo Memoria y Tolerancia. Guerrero. Veracruz: Aztaczotitlán. ",2010,Programa de televisión documental,,"Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación",,,
