DÉCADA 1980-1989,,,
,,,
Código de referencia,Título propio,Vínculos externos ,Nombre del archivo de Portada
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,https://www.youtube.com/watch?v=QRq4umbUPZ0,v36395avohp.jpg
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),https://www.youtube.com/watch?v=nNCbjwySYC4,v36395avohp.jpg
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),http://www.dailymotion.com/video/x2afhtj_five-women-on-the-street-1913-ernst-ludwig-kirchner_creation,v36395avohp.jpg
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),,v36395avohp.jpg
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,,
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,,
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,,
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,,
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,,
MXIM-AV-1-10-64, John Everett Millais: Ophelia,,
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,,
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",https://www.youtube.com/watch?v=schFSTaJ8mc,51gxagoh3zl-_ss500_.jpg
MXIM-AV-1-10-67,La matelassière (La colchonera),https://www.youtube.com/watch?v=WXJkaBCfsQk,
MXIM-AV-1-10-68,La fileuse (La hilandera),https://www.youtube.com/watch?v=X4JVVPrDFcU,
MXIM-AV-1-10-69,La trempeuse (La florista),https://www.youtube.com/watch?v=Xn9hO2Lr_f0,
MXIM-AV-1-10-70,L'orangère,https://www.youtube.com/watch?v=JZMg7p6a1do,
MXIM-AV-1-10-71,La brodeuse,https://www.youtube.com/watch?v=RoFgBc2sxms,
MXIM-AV-1-10-72,La dame-lavabo,https://www.youtube.com/watch?v=Q3JRUwA0cR4,
MXIM-AV-1-10-73,La relieuse,https://www.youtube.com/watch?v=8EdZnpU89ck,
MXIM-AV-1-10-74,La  bistrote,https://www.youtube.com/watch?v=Bb6SkvtQyBk,
MXIM-AV-1-10-75,La canneuse,https://www.youtube.com/watch?v=YK_fIK3XJwE,
MXIM-AV-1-10-76,La repasseuse,https://www.youtube.com/watch?v=4am_izjot9Q,
MXIM-AV-1-10-77,La rémouleuse,https://www.youtube.com/watch?v=wDztblmGnxI,
MXIM-AV-1-10-78,La maítre-verrier,https://www.youtube.com/watch?v=extAJjcLVHg,
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,https://www.youtube.com/watch?v=2Y5rC7kDx3o,"61RUIpu-pfL._SX378_BO1,204,203,200_.jpg"
MXIM-AV-1-10-80,Después de…,https://www.youtube.com/watch?v=z2D7bh8ETrQ,Despues_De-Caratula_1.jpg
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,https://vimeo.com/97168347,Despu_s_de_primera_parte_No_se_os_puede_dejar_solos-319876273-large.jpg
MXIM-AV-1-10-82,Después de... Atado y bien atado,https://vimeo.com/97710878,atado.jpg
MXIM-AV-1-10-83,La isla de las flores,https://www.youtube.com/watch?v=Afy4LxRN67g,laisladelasflores.jpg
MXIM-AV-1-10-84,Corresponsales de guerra I y II,,
MXIM-AV-1-10-85,Corresponsales de guerra III y IV,,
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socalización en los pequeños espacios urbanos),https://vimeo.com/111488563,Amazon.com_-The-Social-Life-of-Small-Urban-Spaces-9780970632418_-William-H.-Whyte_-Books.jpg
MXIM-AV-1-10-87,San Clemente,https://www.youtube.com/watch?v=xyJK6SDm1ZE,San_Clemente-516521380-large.jpg
