 DÉCADA 1940-1949,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Productor ,Distribuidora,Historia Institucional,Reseña biográfica,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-6-1,A diary for Timothy,Crown Film Unit,"Dame Myra Hess,  John Gielgud",,"La Crown Film Unit fue una institución fímica adjunta al Ministerio de Información del gobierno británico durante la Segunda Guerra Mundial. Anteriormente llamada GPO Unit Film, ésta fue rebautizada como Crown Film Unit en 1940. Su función era hacer filmes para el público británico y extranjero. Su basta producción incluyó desde cortometrajes hasta filmes de caracter documental, así como largometrajes de drama y ficción. Al término de la Segunda Guerra Mundial, esta casa productora cambió su nombre a Central Office of Information, hasta que decidieron cerrarla en 1952. Durante la Segunda Guerra Mundial la Crown Film Unit se encargó de producir propaganda de guerra a favor del gobierno británico. Ciertamente, los filmes de Humphrey Jennings: ""Words of Battle"" (1941) y ""Listen to Britain"" (1942), eclipsaron la mayor parte del trabajo de la casa productora, que produjo alrededor de 130 filmes, durante el período bélico. ","Humphrey Jennings nació en Walberswick, Suffolk el 19 de agosto de 1907, y murió el 24 septiembre de 1950. Es identifcado no sólo como un cineasta, además como fotógrafo, crítico literario, director teatral, poeta, pintor y teórico del arte moderno. En 1936 organizó la Exhibición Internacional de Surrealismo en Londres, con la participación de Herbert Read, Roland Penrose y André Breton. En 1934 Jennings se unió a la GPO Film Unit, donde colaboró con Alberto Cavalcanti. El trabajo de Jennings como documentalista se centró principalmente en buscar lo surrealista en lo cotidiano, pues consideraba, como su homólogo André Breton, que el surrealismo se podía apreciar mejor desde la coincidencia; esto puede apreciarse en el filme Listen to Britain (1942), codirigida por Jennings y editada por Stewart McAllister, otro filme representativo de la obra de Jennings es A diary of Timothy (1945), escrito E. M. Foster, en el cual Jennings nos presenta una compleja perspectiva de la vida cotidiana en la Gran Bretaña durante el último año de la Segunda Guerra Mundial, utilizando como pretexto el diario personal de un personaje.",,
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons (Farrebique y las cuatro estaciones),"L´ècran Fracais, Les Films Etienne Lallier","Etienne Lallier, Jaques Girard",RKO Radio Films,,"Georges Rouquier (1909-1989) es discípulo del realizador Jean Grémillon (1902-1959), admirador y continuador de la obra de Robert Flaherty y padre del documentalismo francés, cuyo tema central era el trabajador y el mundo del trabajo. Aprendiz de tipógrafo linotipista en su juventud y enamorado del cine de Chaplin, Flaherty, Eisenstein y Dovjenko, Rouquier rueda sus primeros cortometrajes durante la guerra: “Le tonnelier” (1942), que mostraba la fabricación de un tonel de un artesano tonelero y “Le charron” (1943), otra mirada al mundo artesano, en este caso, la fabricación de una rueda.",,
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),STIC-CTM,Luis Manjarrez,,,,,
MXIM-AV-1-6-4,Le chaudronnier (El calderero),,Etienne Lallier,,,"Georges Rouquier (1909-1989) es discípulo del realizador Jean Grémillon (1902-1959), admirador y continuador de la obra de Robert Flaherty y padre del documentalismo francés, cuyo tema central era el trabajador y el mundo del trabajo. Aprendiz de tipógrafo linotipista en su juventud y enamorado del cine de Chaplin, Flaherty, Eisenstein y Dovjenko, Rouquier rueda sus primeros cortometrajes durante la guerra: “Le tonnelier” (1942), que mostraba la fabricación de un tonel de un artesano tonelero y “Le charron” (1943), otra mirada al mundo artesano, en este caso, la fabricación de una rueda.",,
MXIM-AV-1-6-5,Le Tonnelier (El Tonelero),,Etienne Lallier,,,"Georges Rouquier (1909-1989) es discípulo del realizador Jean Grémillon (1902-1959), admirador y continuador de la obra de Robert Flaherty y padre del documentalismo francés, cuyo tema central era el trabajador y el mundo del trabajo. Aprendiz de tipógrafo linotipista en su juventud y enamorado del cine de Chaplin, Flaherty, Eisenstein y Dovjenko, Rouquier rueda sus primeros cortometrajes durante la guerra: “Le tonnelier” (1942), que mostraba la fabricación de un tonel de un artesano tonelero y “Le charron” (1943), otra mirada al mundo artesano, en este caso, la fabricación de una rueda.",,
MXIM-AV-1-6-6,Le sang des bêtes (La sangre de las bestias),Forces et voix de France,Paul Legros,,,"Georges Franju nació en Francia en 1912 y murió en 1987. Antes de dedicarse a la industria del cine trabajó en una aseguradora, en una fábrica de fideos, e hizo carrera militar en Argelia hasta 1932; después de su regreso de Argelia, decidió dedicarse a la Escenografía, de cuya obra destaca haber creado telones de fondo para diferentes teatros como el Casino de París y el Folles Bergère. A mediados de la década de 1930 conoció a Henri Langlois con quien realizó un cortometraje de 16 mm llamado Le Métro, ambos también fundaron un club cinematográfico llamado Le Cercle du Cinema, en el cual proyectaban películas silentes para posteriormente hacer un debate entre los asistentes acerca del filme. A principios de 1940, Franju fundó, en colaboración con Dominique Johansen, una organización destinada a promover el cine francés llamada Circuito Cinematográfico de Artes y Ciencias el cual tuvo una muy breve existencia. En 1949, Franju comenzó a trabajar en una serie de documentales inspirados en la ocupación nazi de París y el industrialismo impulsado por la Segunda Guerra Mundial: Le Sang des Betes (1949) registraba todo un día en un rastro de París; en 1950, el gobierno francés le encargó a Franju realizar un filme donde exaltara la modernización tecnológica-industrial de Francia en la posguerra, pero visualmente Franju trató de mostrar a las fábricas como monstruos amorfos carentes de progreso alguno, con su filme En Passant par la Lorreine; en 1951, nuevamente por un encargo del gobierno francés, Franju registro en Hotel des Invalides la vida cotidiana dentro de un hospital de veteranos de guerra, con lo cual Franju intentó hacer una crítica a la glorificación bélica que el gobierno intentaba hacer a través de sus veteranos. En 1958, Franju decidió dedicarse a realizar filmes de ficción, entre los cuales están Les Yeux sans Visage (1959) y Judex (1963). ",,
MXIM-AV-1-6-7,Listen to Britain (Escucha a Bretaña),Crown film unit,"Lan Dalrymple, Productor ejecutivo: Dora Wright",,"La Crown Film Unit fue una institución fímica adjunta al Ministerio de Información del gobierno británico durante la Segunda Guerra Mundial. Anteriormente llamada GPO Unit Film, ésta fue rebautizada como Crown Film Unit en 1940. Su función era hacer filmes para el público británico y extranjero. Su basta producción incluyó desde cortometrajes hasta filmes de caracter documental, así como largometrajes de drama y ficción. Al término de la Segunda Guerra Mundial, esta casa productora cambió su nombre a Central Office of Information, hasta que decidieron cerrarla en 1952. Durante la Segunda Guerra Mundial la Crown Film Unit se encargó de producir propaganda de guerra a favor del gobierno británico. Ciertamente, los filmes de Humphrey Jennings: ""Words of Battle"" (1941) y ""Listen to Britain"" (1942), eclipsaron la mayor parte del trabajo de la casa productora, que produjo alrededor de 130 filmes, durante el período bélico. ","Humphrey Jennings nació en Walberswick, Suffolk el 19 de agosto de 1907, y murió el 24 septiembre de 1950. Es identifcado no sólo como un cineasta, además como fotógrafo, crítico literario, director teatral, poeta, pintor y teórico del arte moderno. En 1936 organizó la Exhibición Internacional de Surrealismo en Londres, con la participación de Herbert Read, Roland Penrose y André Breton. En 1934 Jennings se unió a la GPO Film Unit, donde colaboró con Alberto Cavalcanti. El trabajo de Jennings como documentalista se centró principalmente en buscar lo surrealista en lo cotidiano, pues consideraba, como su homólogo André Breton, que el surrealismo se podía apreciar mejor desde la coincidencia; esto puede apreciarse en el filme Listen to Britain (1942), codirigida por Jennings y editada por Stewart McAllister, otro filme representativo de la obra de Jennings es A diary of Timothy (1945), escrito E. M. Foster, en el cual Jennings nos presenta una compleja perspectiva de la vida cotidiana en la Gran Bretaña durante el último año de la Segunda Guerra Mundial, utilizando como pretexto el diario personal de un personaje.",,
MXIM-AV-1-6-8,London can take it! (Londres puede soportarlo o Londres resiste),,,,,"Humphrey Jennings nació en Walberswick, Suffolk el 19 de agosto de 1907, y murió el 24 septiembre de 1950. Es identifcado no sólo como un cineasta, además como fotógrafo, crítico literario, director teatral, poeta, pintor y teórico del arte moderno. En 1936 organizó la Exhibición Internacional de Surrealismo en Londres, con la participación de Herbert Read, Roland Penrose y André Breton. En 1934 Jennings se unió a la GPO Film Unit, donde colaboró con Alberto Cavalcanti. El trabajo de Jennings como documentalista se centró principalmente en buscar lo surrealista en lo cotidiano, pues consideraba, como su homólogo André Breton, que el surrealismo se podía apreciar mejor desde la coincidencia; esto puede apreciarse en el filme Listen to Britain (1942), codirigida por Jennings y editada por Stewart McAllister, otro filme representativo de la obra de Jennings es A diary of Timothy (1945), escrito E. M. Foster, en el cual Jennings nos presenta una compleja perspectiva de la vida cotidiana en la Gran Bretaña durante el último año de la Segunda Guerra Mundial, utilizando como pretexto el diario personal de un personaje.",,
MXIM-AV-1-6-9, México durante el siglo XIX ,Carlos Denegri, Carlos De Negri,,,"1. Carlos Denegri nació el 27 noviembre en Texcoco, Estado de México; pasó la mayor parte de su infancia y adolescencia en Europa, debido a que su padre, Ramón P. Denegri, cumplía en ese continente tareas de orden diplomático. Posteriormente regresó a México para continuar con sus estudios de bachillerato en la Escuela Nacional Preparatoria, la cual abandonó para dedicarse al periodismo. En 1938 ingresó a la nómina del diario Excélsior, donde fue reportero por 30 años, desde 1938 hasta 1968. En 1945 dirigió Revista de Revistas, un suplemento de dicho diario donde le explotó los géneros de crónica y reportaje. A finales de la década de 1950, Denegri inició con la difusión televisiva de varios de los reportajes realizados por él, y otros de sus colegas, así como entrevistas y opiniones, en un programa llamado “Miscelánea Denegri”, el cual se sostuvo por varios años en la televisión mexicana. Finalmente, Denegri murió a causa de un balazo que le propinó su esposa Herlinda Mendoza Rojo, debido a una riña conyugal, el 1 de enero de 1970. ",,
