 DÉCADA 1940-1949,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-6-1,A diary for Timothy,"A través del diario de un bebe nacido en septiembre de 1944, este valiente documental muestra el estado de Gran Bretaña a finales de la Segunda Guerra Mundial. El argumento explica a Timothy, el pequeño, lo que sucede con su familia, vecinos y conciudadanos al tiempo en que la guerra va llegando a su fin. La cinta, convertida en un clásico, reflexiona en torno a los problemas que una nueva generación de postguerra debe enfrentar tras el término del conflicto"". (Cineteca Nacional)",,"Haymarket Theatre, St. Jame´s, National Gallery, Trafalgar Square, St. Paul´s Cathedral, Ludgate Hill",1944-1945,Película documental,,"Registros fonográficos, registros videográficos, música de época, documentos, grabación de campo.","Conducción, narración en off, puesta en escena, gráficos.",,35 mm,
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons (Farrebique y las cuatro estaciones),"Farrebique analiza una familia de campesinos del Macizo Central que vivían aún en régimen de autarquía en vísperas del gran cambio que iba a producirse en el mundo rural, acelerado tras la guerra. Farrebique es una evocación de las cuatro edades de la vida, desarrollada al hilo de las cuatro estaciones y tejida con los pequeños acontecimientos de la vida cotidiana, sus penas y sus alegrías. ","Familia de campesinos (El abuelo, la abuela, Roch, Berthe, Maria, Simone, Raymond, Ivette, Henri, María), Fabre (vecino) Fabrette (hija del vecino)","Francias: Rouergue antigua provincia de Occtania, finca Ferrebique, Goutrens, Bosque Buene, La Bruel, La Fumade, Pomayret, Cassagnes, Avignon, Ste- Radegonde, Rodez, Montpellier, Tolouse, Combrivat, Villefranche",1942,Película documental,,"Ficción, registros fílmicos, fotografías, testimonios videorales, música de época, documentos, cartografía.","Animación, narración en off, puesta en escena, incidentales, intertítulos, gráficos","Version francesa sin subtítulos, Versión francesa con subtitulos en inglés y versión francesa con subtítulos en español",,"Suplementos: Biografía, Filmografía"
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),"Noticiero fílmico del Sindicato de Trabajadores de la Industria Cinematográfica (S.T.I.C.) que muestra la presentación ante la sociedad mexicana del por entonces novedoso complejo urbano ""Miguel Alemán"", como parte del gran proyecto modernizador del país impulsado por el gobierno mexicano de los años 50's y 60's, lo que suponía un avance, no sólo en términos de la arquitectura moderna, sino también un paso adelante en la solución de los problemas de vivienda para los habitantes de la capital.","Esteban García de Alba, Ingenieros Civiles Asociados (ICA)","D. F, Centro Urbano Miguel Alemán ",1947-1949,Película documental,,"Ficción, registros fílmicos, música de época, noticieros fílmicos, grabación de campo.","Puesta en escena, narración en off",,VHS,
MXIM-AV-1-6-4,Le chaudronnier (El calderero),"La película, muestra el proceso de elaboración de distintos objetos de metal, a través de la vida de un artesano calderero. Tanto el personaje, inscrito dentro de su propio contexto vital, como los gestos propios de su trabajo, fueron elegidos y magnificados por el cineasta con absoluta seguridad, fruto de una paciente familiaridad con su protagonista, y un gran dominio de la técnica cinematográfica.",,Francia,,Película documental,,"Pinturas, fotografías, grabación de campo.","Narración en off, conducción, animación.",,,
MXIM-AV-1-6-5,Le Tonnelier (El Tonelero),"""Al llegar la revolución del ""hablado"", Rouquier se familiarizó con el sonido, sin por ello abandonar su profesión de linotipista. Tras un largo aprendizaje, llegó Le tonnelier , la obra que realmente puede considerarse la primera de este cineasta que nunca llegaría a hacer una verdadera carrera. La película, realizada tras su regreso a Lunel, mostraba la fabricación de un tonel de un artesano tonelero. Tanto el personaje, inscrito dentro de su propio contexto vital, como los gestos propios de su trabajo, fueron elegidos y magnificados por el cineasta con absoluta seguridad, fruto de una paciente familiaridad con su protagonista, y un gran dominio de la técnica cinematográfica.""",,Francia,,Película documental,,"Pinturas, fotografías, documentos, grabación de campo.","Narración en off, conducción, animación",,,
MXIM-AV-1-6-6,Le sang des bêtes (La sangre de las bestias),"Le Sang des bêtes (""La Sangre de las bestias"") es un documental corto francés de 1949, escrito y dirigido por Georges Franju. Fue el primer filme de Franju y está narrado por Georges Hubert y Nicole Ladmiral. El documental de Franju contrasta las pacíficas escenas de los suburbios parisinos con escenas de un matadero. El filme documenta la matanza de un caballo, ovejas y terneros. Una vez el caballo es aturdido por una pistola de bala cautiva, es sangrado y descuartizado. El filme es narrado sin lenguaje emotivo. (FILMAFFINITY)",Ari Folman,"Francia: Aeropuerto de París, rastro municipal de París","1880, 1940",Película documental,,"Testimonios videorales, ficción, fotografías, pinturas, música de época, grabación de campo. ","Animación, puesta en escena, incidentales, narración en off, conducción",,,
MXIM-AV-1-6-7,Listen to Britain (Escucha a Bretaña),"Listen to Britain alcanza una cima de rara belleza mostrando instantes de vida cotidiana bajo los bombardeos nazis. No hay diálogos; sólo sonidos de ambiente: imágenes de las calles, bailes, conciertos, exposiciones, etc. Estructurada como un enorme video clip, combinando imágenes con música, consigue emocionar con su montaje sensible a la par que inteligente. La cultura se muestra por todas partes como un elemento de la sociedad británica que se opone a la barbarie destructora de los nazis. Y entonces, la poesía de muchas de las imágenes -con insólitos encuadres y sensacional fotografía en blanco y negro- se convierte en épica, la verdadera épica colectiva de un pueblo unido en la resistencia común contra el fascismo.","Chesney Allen , Leonard Brockington, Bud Flanogan,  Myra Hess",Reino Unido,1942,Película documental,,"Registros fílmicos, música de época, registros fonográficos, registros videográficos, grabación de campo, cartografía. ","Incidentales, conducción, narración en off",,35 mm,
MXIM-AV-1-6-8,London can take it! (Londres puede soportarlo o Londres resiste),"El documental se abre con los tiros de las calles de Londres a finales de la tarde, como la gente comienza su viaje a casa. El narrador recuerda a la audiencia que estas personas son parte del mayor ejército civil que el mundo haya conocido, y van a unirse a su respectivo servicio antes de que llegue ""visitante nocturno"" de Londres. La fuerza aérea nazi llega y comienza su trabajo nocturno, bombardeando iglesias, lugares de negocios y hogares, el trabajo de cinco siglos destruidos en cinco segundos. Pero tan pronto como lo es mañana, los británicos van a trabajar  de forma en que normalmente lo hacen. Joseph Goebbels es citado diciendo que los atentados están teniendo un gran efecto sobre la moral británica. Tiene razón, dice el narrador, la moral de los británicos es mayor que nunca.",,Reino Unido: Londres (East End),7 de septiembre de 1940 y el 16 de mayo de 1941,Película documental,,Grabación de campo,"Narración en off, conducción",,35 mm,
MXIM-AV-1-6-9, México durante el siglo XIX ,"Presenta una descripción social de México en el siglo XIX, un México independiente caracterizado por las diferentes modas de acuerdo a las clases sociales","José María Velasco, Juventino Rosas ","México: Castillo de Chapultepec, zócalo. Mérida, Veracruz, Morelia",1800-1899,Película documental,,"Pinturas, registros fílmicos, ficción.","Narración en off, conducción, gráficos",,VHS ,
