DÉCADA 1980-1989,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,," Forma parte de la edición Obras maestras, Canal Once TV, video 2 MXIM-AV-1-12-141",
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),," Forma parte de la edición Obras maestras, Canal Once TV, video 2 MXIM-AV-1-12-141",
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),," Forma parte de la edición Obras maestras, Canal Once TV, video 2 MXIM-AV-1-12-141",
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),," Forma parte de la edición Obras maestras, Canal Once TV, video 2 MXIM-AV-1-12-141",
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,," Forma parte de la edición Obras maestras, Canal Once TV, video 3 MXIM-AV-1-12-142",
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,," Forma parte de la edición Obras maestras, Canal Once TV, video 3 MXIM-AV-1-12-142",
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,," Forma parte de la edición Obras maestras, Canal Once TV, video 3 MXIM-AV-1-12-142",
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,," Forma parte de la edición Obras maestras, Canal Once TV, video 3 MXIM-AV-1-12-142",
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,," Forma parte de la edición Obras maestras, Canal Once TV, video 3 MXIM-AV-1-12-142",
MXIM-AV-1-10-64, John Everett Millais: Ophelia,,"Forma parte de la edición Obras maestras, Canal Once TV, video 4 MXIM-AV-1-12-143",
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,,"Forma parte de la edición Obras maestras, Canal Once TV, video 4 MXIM-AV-1-12-143",
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",,,"""El universo dereniano. Textos fundamentales de la cineasta Maya Deren"", edición y traducción Carolina Martínez, Artea Editorial, edición electrónica, junio 2013, en: http://arteaeditorial.arte-a.org/node/999     Deren, Maya, Divine horsemen: voodoo gods of Haití, prólogo Joseph Campbell, E.U., Chelsea House Publishers, 1970, 350 pp., ils. "
MXIM-AV-1-10-67,La matelassière (La colchonera),,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-68,La fileuse (La hilandera),,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-69,La trempeuse (La florista),,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-70,L'orangère,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-71,La brodeuse,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-72,La dame-lavabo,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-73,La relieuse,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-74,La  bistrote,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-75,La canneuse,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-76,La repasseuse,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-77,La rémouleuse,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-78,La maítre-verrier,,Forma parte de la antología Portraits d´Alain Cavalier (1a serie) MXIM-AV-1-10-34,
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,,,
MXIM-AV-1-10-80,Después de…,,,
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,,,
MXIM-AV-1-10-82,Después de... Atado y bien atado,,,
MXIM-AV-1-10-83,La isla de las flores,,,
MXIM-AV-1-10-84,Corresponsales de guerra I y II,,,
MXIM-AV-1-10-8,Corresponsales de guerra III y IV,,,
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socalización en los pequeños espacios urbanos),,,
MXIM-AV-1-10-87,San Clemente,,,
