DÉCADA 1980-1989,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,,,http://www.cinelatinoamericano.cult.cu/ficha.aspx?cod=977
MXIM-AV-1-10-2,Antonio Gaudí,,,
MXIM-AV-1-10-3,Biquefarre ,,,
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),,,
MXIM-AV-1-10-5,Tlacuilo,,,
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),,,
MXIM-AV-1-10-7,Una mayordomía,,Unidades relacionadas con el rito de la mayordomía: Un día con San Judas  MXIM-AV-1-13-41,
MXIM-AV-1-10-8,El Blanquita,,,
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,,,
MXIM-AV-1-10-10,El papel de San Pablito,,,
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,,,http://www.rebeldemule.org/foro/documental/tema7285.html
MXIM-AV-1-10-12,El oficio de tejer,,,
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,,,
MXIM-AV-1-10-14,Entre la presencia y el olvido,,,
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),,,
MXIM-AV-1-10-16,From the Pole to the Equator,,,
MXIM-AV-1-10-17,Jornaleros del tiempo,,,
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),,,
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,,,
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),,,
MXIM-AV-1-10-21,La neta no hay futuro,,,
MXIM-AV-1-10-22,La república perdida II,,"Unidades relacionadas con el tema de la dictadura militar argentina y represión: Montoneros  MXIM-AV-1-11-109, El alma de los verdugos MXIM-AV-1-12-34, Historia Argentina 1976-1978 MXIM-AV-1-12-229",
MXIM-AV-1-10-23,Laguna de dos tiempos,,,
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan , Ver.",,,
MXIM-AV-1-10-25,Lenguaje audiovisual,,,
MXIM-AV-1-10-26,Malcolm Lowry en México,,,
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,,,
MXIM-AV-1-10-28,Mi hijo el Ché,,,
MXIM-AV-1-10-29,Milano ´83,,,
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),,,
MXIM-AV-1-10-31,Nadie es inocente,,,
MXIM-AV-1-10-32,"New York, N.Y.",,,
MXIM-AV-1-10-33,Sans Soleil,,,
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),,,
MXIM-AV-1-10-35,Powaqqatsi,,,
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",,,
MXIM-AV-1-10-37,Reporters (Reporteros),,,
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,,,
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,,,
MXIM-AV-1-10-40,Urgencias,,,"Breschand, Jean, El documental: la otra cara del cine, Barcelona, Paidós, 2004, págs 82 y 83."
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",,,
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""",,,
MXIM-AV-1-10-43,Semana Santa entre los mayos,,,
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",,,
MXIM-AV-1-10-45,Knochenumbettung,,"Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",
MXIM-AV-1-10-46,La balada del pequeño soldado,,"Forma parte de la antología Documentales y cortometrajes de  Werner Herzog  MXIM-AV-1-12-208, Unidades relacionadas con la guerrilla en Nicaragua: El inmortal  MXIM-AV-1-12-215",
MXIM-AV-1-10-47,Mer dare ó Nas vek,,Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11,
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorezo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquón Patinier: El Bautismo de Cristo),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñoas en el embarcadero),," Form parte de la edición Obras maestras, Canal Once TV, video 1 MXIM-AV-1-12-140",
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",," Forma parte de la edición Obras maestras, Canal Once TV, video 2 MXIM-AV-1-12-141",
