 DÉCADA 1970-1979,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),"Una película muda de 1914, trata sobre el mundo del Kwakwaka'wakw (Kwakiutl) pueblos de la región Queen Charlotte, estrecho de la costa central de Columbia Británica, Canadá. escrita y dirigida por Edward S. Curtis y actuado en su totalidad por nativos Kwakwaka'wakw. La película combina muchas representaciones precisas de aspectos culturales de la cultura Kwakwaka'wakw. Otros aspectos de la película se basa en las tradiciones transmitidas oralmente de la Kwakwaka'wakw o en aspectos de otras culturas vecinas. La película también retrata con precisión rituales Kwakwaka'wakw que eran, en ese momento, prohibida por la prohibición canadiense promulgada en 1884 y no rescindido hasta 1951.","Motana, hijo de Kenada, Naida, hija de Waket, Kenada, Yaklus, ","Montana, Estados Unidos, Canadá. ",1914,,,,"Grabación de campo, música de época, actores, crestomatías, intertítulos",,,
MXIM-AV-1-9-2,Acting in Turn,"Este clásico del cine documental de la escuela británica bajo el patrocinio de la empresa Shell, narra la historia de la industria moderna a través del desarrollo de la rueda dentada y los engranajes. ",,,,Película documental,,Documentos,,,VHS,
MXIM-AV-1-9-3,Appunti per un´Orestiade africana,"Ante la posibilidad de filmar una adaptación de la Orestíada de Esquilo ambientada en África, Pasolini busca en dicho continente un escenario alternativo, así como nuevos rostros para Agamenón, Electra, Clitemnestra y los integrantes del coro. La película —verdadero storyboard visual— se compone de una combinación entre documental y escenas filmadas por el propio realizador en varias locaciones africanas, todo ello aderezado por los punzantes comentarios políticos y estéticos del cineasta. En algún momento, Pasolini llega incluso a considerar otras alternativas: por ejemplo, un melodrama musical en jazz, protagonizado por actores afroamericanos.","Esquilo, Agamnenon, Clitemnestra, Orestes, Cassandra, Electra, Furias, Apolo, Atenea, ","China, África, Argos, Troya, Atenas, Tanzania, Uganda, Lago Victoria, Lago Tanganica, Congo, Kigoma, Biafra, Kampala","1966, 1970",,,"Entrevistas, testimonios videorales, registros fílmicos de archivo","Grabación de campo, voz en off, conducción, narración, música de época",,,
MXIM-AV-1-9-4,Aurelia Steiner,"Es un cortometraje de 27 minutos dirigido por Marguerite Duras. La cámara a través del Sena de París a Boulogne-Billancourt al caer la noche en un barco que no se ve; se centra en los arcos y pilares de puentes, órdenes transeúntes, sombras en los juegos de agua.
Marguerite Duras lee con voz en off uno de sus textos: una carta de Aurélia Steiner, una de las figuras recurrentes de las novelas de Duras, escritos a Melbourne La chica evoca a través de una escena íntima - un río que pasa, un gato maullando escuálido luego muere etc. - La búsqueda de la comunión con otra persona cada vez nombrado, extranjero o desconocido todavía intensamente amado.",,"Sena, Francia.",,,,,"Grabación de campo, voz en off, narración",,,
MXIM-AV-1-9-5,Canciones para después de una guerra,"Evocación de los años de posguerra en España a través de canciones populares montadas sobre imágenes que buscan darle otro significado a las mismas. En una verdadera radiografía implacable, emotiva, lúdica, de aquel tiempo, aquella posguerra. Una propuesta original, en complicidad con el espectador, juego de ritmos, imágenes y sonidos, sutiles asociaciones mentales, sin necesidad de recurrir a ninguna convención argumental. 
Insólito y audaz espectáculo, libre, disidente respecto a toda normativa, académica o industrial, política o estética. Tuvieron que prohibirla durante años, inútilmente, hasta la muerte del dictador. ","Franco, Hitler, Roosvelt, Trotsky, Alfredo Maggi, Rafael Miran, Armando Calvo, Luis Miguel, ","España: Madrid, Santander, Salamanca., Roma, Hiroshima, ","1936, 1947",Película documental,,"Documentos, registros fílmicos de archivo, fotografías, gráficos, hemerografía, noticieros radiofónicos, ficción, programas de TV","Grabación de campo,  música de época, animación, voz en off",,,
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,"Relato en cuatro canciones como homenaje a las víctimas del sadismo fascista que las fuerzas armadas y la C.I. A. vienen perpetrando en Chile desde el 11 de septiembre de 1973.
Nos volvemos a encontrar ante un montaje excepcional de Santiago Álvarez a base de imágenes y fotografías relacionadas con el golpe de estado de Pinochet en Chile. La consecución de las imágenes está acompañada con la voz de Víctor Jara (""Amanda"", ""El alma cubierta de banderas"" y ""Plegaria a un labrador"") y de Violeta Parra (¿Qué dirá el santo padre?).","Salvador Allende, Augusto Pinochet, Victor Jara",Chile,11 de septiembre 1973,Película documental,,"Registros fílmicos de archivo, fotografías, hemerografía","Música de época, intertítulos, incidentales, animación",,35 mm,
MXIM-AV-1-9-7,Historia de un documento,"En 1970, huyendo de la represión ejercida contra militantes del 68, Oscar Menéndez y Rodolfo Alcaraz se trasladaron a Europa llevando el material fílmico del movimiento estudiantil en busca de productores para realizar la película. A principios de 1971 la Radio y Televisión Francesa (ORTF) aceptó el proyecto de los mexicanos, quienes trabajaron durante casi un año que duró la producción de este film con la promesa de la ORTF de que al terminar, se proyectaría en la red de televisión europea. Esto no fue posible por la intervención directa contra la película del entonces gobierno de Luis Echeverría Álvarez. En noviembre del 2004 en el V Foro Internacional sobre las Nuevas Tendencias del Documental, Escenarios 2004, que realizó el Centro de Capacitación Cinematográfica (CCC) en la Ciudad de México, se pudo  exhibir la película por primera vez. Ahora, 34 años después, presentamos esta película narrada en francés y subtitulada en español que nos ofrece un episodio cinematográfico inédito ya que la película está realizada clandestinamente en 1970 en el penal de Lecumberri con los presos políticos de esa época. Esta obra reconfirma la vigencia de la lucha democrática sostenida por el movimiento estudiantil del 68.","Luis Echeverría, Gustavo Díaz Ordaz, Rubén Jaramillo, Othón Salazar, Valentín Campa, Demetrio Vallejo, Humboldt, ","Ciudad de México: Cárcel preventiva de Lecumberri, Plaza de las tres culturas de Tlatelolco, Zócalo, Palacio Nacional, ENAH, CU, IPN","1957, 1962, 1968, 1969, 1979, 1971, 2 de octubre de 1968",Película documental,,"Registros fílmicos de archivo, testimonio oral, fotografías","Grabación de campo, voz en off, conducción, música de época",,Súper 8,
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,"Salvador Allende pone en marcha un programa de profundas transformaciones sociales y políticas. Desde el primer día la derecha organiza contra él una serie de huelgas salvajes mientras la Casa Blanca le asfixia económicamente. A pesar del boicot --en marzo de 1973-- los partidos que apoyan a Allende obtienen el 43,4 por ciento de los votos. La derecha comprende que los mecanismos legales ya no les sirven. De ahora en adelante su estrategia será la estrategia del golpe de estado. “La Batalla de Chile” es un fresco que muestra paso a paso estos hechos que conmovieron al mundo. http://www.patricioguzman.com/index.php?page=films_dett&fid=1","Salvador Allende, General Carlos Prats, Milía, Central Eléctrica de Trabajadores, Manuel Rodriguez, Sociedad Nacional de Agricultura, CIA, Partido Democrata Cristiano, Izquierd Unida, Unidad Popular,  MOPARE, Ismael Huerta,  Guillermo Medina, Alejandro Rojas,, Víctor García Garzena, Fernando Castillo,  ","Chile, Mina Chuquicamata, Mina El teniente, Universidad Católica, Tacamar, ","21 de mayo 1973, 15 de junio, 27 de junio, ",Película documental,,"Registros fílmicos de archivo,  testimonios videorales","Grabación de campo, voz en off, conducción, entrevistas",,35 mm,
MXIM-AV-1-9-9,El golpe de Estado,"Entre marzo y septiembre de 1973 la izquierda y derecha se enfrentan en la calle, en las fábricas, en los tribunales, en las universidades, en el parlamento y en los medios de comunicación. La situación se vuelve insostenible. Estados Unidos financia la huelga de los camioneros y fomenta el caos social. Allende trata de llegar a un acuerdo con las fuerzas de la Democracia Cristiana, sin conseguirlo. Las propias contradicciones de la izquierda aumentan la crisis. Los militares empiezan a conspirar en Valparaíso. Un amplio sector de la clase media apoya el boicot y la guerra civil. El ll de septiembre Pinochet bombardea el palacio de gobierno. http://www.patricioguzman.com/index.php?page=films_dett&fid=1","Salvador Allende, Augusto Pinochet, Alejandro Rojas, Alfonso Ansieta, Fernando Castillo, Carlos Prats, José Tohá, Mario Sepulveda, Guillermo Pickering, Teniente Pérez, Roberto Souper, Uros Domic, Rafael Veillena, Carlos Altamirano, Óscar Guillermo Guillén, Julio Estuardo, CUT, Arturo Araya Peeters, Gustavo Leigh, José Toribio Merino, César Mendoza, Gustavo Leigh Guzmán, ","Chile, Carretera Panamericana, Santiago, Cerillo, Vicuña, Valtierra, Plaza Bulnes, Valparaíso,  Recoleta, ",1973,Película documental,,Testimonios videorales,"Grabación de campo, voz en off, conducción, entrevistas",,35 mm,
