 DÉCADA 1950-1959,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Productor ,Distribuidora,Historia Institucional,Reseña biográfica,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-7-1,Toute la memoire du monde (Toda la memoria del mundo),Les Films de la Pléiade,Pierre Braunmerger,,"Fue creada o fundada por Pierre Braunberger en 1945. (Fuente: http://www.technicolorfilmfoundation.org/fr/accueil/partenaires/les-films-de-la-pleiade-et-les-films-du-jeudi.html ) La cartelera de esta compañía productora era extensa, producían desde filmes vanguardistas, pasando por filmes netamente comerciales, hasta innovadores trabajos realizados por los directores de la denominada Nueva Ola como Jean Pierre Melville, quien colaboró con Braunberger en la adaptación de la novela El silencio del mar en 1947 y 1948. Les Films de la Pléiade también incursionó en el cine documental, y apoyó al documentalista etnográfico Jean Rouch. A través de esta compañía productora, muchos cineastas franceses, que después alcanzarían fama nacional e internacional, pudieron crecer el ámbito cinematográfico como Alan Resnais, Jean Luc Godard, entre otros. (Fuente: Nelmes, Jill, An introduction to film studies, Routledge, Glasgow, Gran Bretaña, 2003, p. 433)","Remo Forlani Nacido en París, Francia, escribió muchos libros dedicados a los gatos. Fue colaborador de la RTL como crítico cinematográfico, destacando su participación en RTL Cinéma y en Tous les goûts sont permis entre 1990 y junio de 2004, colaborando con Évelyne Pagès y con Isabelle Quenin a partir de 1997.4 También trabajó por las mañanas en Laissez-vous tenter (de la RTL) hablando de cine, y cada miércoles de estreno hasta su muerte en 2009 al final de la emisión del programa Les auditeurs ont la paroles, presentado por Jérôme Godefroy. Forlani fue también crítico cinematográfico de RTL Television en los años 1980, falleció en 2009 en París, Francia, a causa de un cáncer. Alain Resnais nació el 3 de junio de 1922 en Francia. Comenzó sus estudios superiores en la Escuela de Altos Estudios Cinematográficos de París. Su carrera laboral dentro del cine comenzó en el área de montaje; trabajo que realizó para vivir, mientras realizaba otros proyectos cinematográficos alternativos enfocados en el cortometraje. Durante esta primera etapa de su carrera, colaboró en múltiples proyectos cinematográficos haciendo voz en off, elemento característico de su obra: En la década de 1950, colaboró con Chris Marker, en la realización del ensayo fílmico Les statues meurent aussi; en 1955, volvió a colaborar con él, en la realización de Nuit et brouillard, donde trata el tema del Holocausto; en 1956 rodó un documental sobre la Biblioteca Nacional llamado Toute la mémoire du monde y, por último en esta etapa, rodó un filme de ficción llamado Le chant du Styréne (1958), basado en la novela de Raymond Queneau. Resnais filmó su primer largometraje en 1959, basándose en el guion de Marguerite Duras, llamado Hiroshima, mon amour; en donde rescata los recuerdos de dos sobrevivientes de la Segunda Guerra Mundial. En 1966, Resnais se dedicó a la producción, y produjo La guerre est finie, en la cual se relatan las vacilaciones ideológico-políticas de un antifranquista que debate entre el activismo político y el cansancio existencial. Posteriormente se involucró en la producción de Loin du Vietnam (1967), concebido por su antiguo colaborador Chris Marker. En la década de 1970 dirigió el filme Stavisky (1974), la cual no tuvo una respuesta positiva en taquilla, para 1977 dirigió Providence, filme en inglés basado en los relatos del cuentista de terror Howard Phillips Lovecraft, la cual obtuvo siete premios César como mejor película. En la década de 1980 destacan La vie est un roman (1983), L’amour á mort (1984), Mélo (1986), y I want go home (1989). En 1995 obtuvo el León de Oro en el Festival de Venecia y en 1998 el Oso de Plata en el Festival de Berlín, por la dirección del filme Smoking and No smoking, basado en la obra de Alan Ayckbourn, y producida en 1993. Finalmente, su producción cinematográfica llega hasta nuestros días, con Pas sur la bouche (2003), adaptación de la opereta de André Barde, Coeurs (2006) y Les herbes folles (2009), que muchos identifican como el fin de la carrera de Alain Resnais como director. ",,
MXIM-AV-1-7-2,Every day except Christmas (Todos los días excepto Navidad),"National Film, Television Archive, Ford of Britain, Graphic Production","Leon Clore, Karel Reisz",,"La NFTVA es una institución dependiente del gobierno británico encargada que archivar y resguardar diferentes colecciones de filmes producidos en Gran Bretaña y por autores británicos. Entre sus colecciones se encuentran filmes de todo tipo: Trailers, películas mudas, filmes restaurados, filmes realizados en el extranjero, cortometrajes, animaciones, material de producción, filmes experimental, de vanguardia, de ficción y documental (Fuente: http://www.movinghistory.ac.uk/archives/bf/collection.html). La compañía Ford of Britain es una filial de la empresa automotriz Ford Motor Company. Esta filial operaba en ciudades como Bridgend, Dagenham, Halewood, Southampton y Dunton, ubicadas en la isla británica.","Lindsay Gordon Anderson (Bangalore, India, 17 de abril de 1923 - Angulema, Francia, 30 de agosto de 1994), conocido como Lindsay Anderson, es un director de cine británico. Fue también crítico de cine, productor y actor teatral y cinematográfico. Abierto a las tendencias del nuevo cine, fue uno de los mayores exponentes del Free cinema británico y dirigió If... (1968), que se llevó la Palma de Oro en el Festival de Cannes y supuso el debut del actor Malcolm McDowell. Su filmografía cuenta con títulos como Un hombre de suerte (1973) y Britannia Hospital (1982), entre otros.

Antes de dedicarse a la realización de cine y a la producción teatral, fue un renombrado crítico de la revista Sight and Sound del British Film Institute, y desempeñó papeles secundarios en varios filmes como Carros de fuego, en 1981. Como productor teatral, tiene en su haber unas 40 producciones, la mayoría para el Royal Court Theatre de Londres.",,
MXIM-AV-1-7-3,Inchiesta Alimentare a Rofrano ,"Istituto Nazionale LUCE, Istituto Nazionale della Nutrizione del Consiglio Nazionale delle RicercheNR", , ,"El Instituto LUCE, cuyas siglas significan Libera Unione Cinematográfica Educativa, fue creado en 1920 y funcionó como el principal órgano de propaganda del gobierno fascista italiano; en un principio, propiedad de una sociedad privada, se convirtió en 1924 en un organismo dependiente del Estado Fascista Italiano e instaló su sede en Roma, donde reside hasta hoy en día. En su vasta producción cinematográfica encontramos filmes de todos los géneros desde largometrajes de ficción hasta filmes documentales. Actualmente posee un archivo histórico sumamente vasto. (Fuente: www.luce.it y www.archivioluce.com). El Instituto Nacional de Nutrición (INN) es una institución dependiente del gobierno italiano que cuenta con una planta multidisciplinaria de expertos y profesionales en las diferentes áreas relacionadas con el estudio de la química en alimentos y la nutrición. Fundado en 1936 como un organismo dependiente del Consejo Italiano de Investigación Nacional, en 1958 se convirtió en una institución de investigación independiente, adscrito al Departamento de Agricultura, con financiamiento y apoyo del Departamento de Salud. Sus principales funciones son: Apoyar la investigación y difusión de estudios sobre nutrición y química en alimentos; colaborar constantemente con el Departamento de Agricultura y con el Departamento de Salud, y contribuir a la formación de estudiosos en dichas materias. (Fuente: http://www.maas.ccr.it/agrital/inn-ing.html)",,Donación,1999
MXIM-AV-1-7-4,J'ai fait un beau voyage,Institut National de l'Audiovisuel (INA),,,"El Instituto Nacional del Audiovisual fue fundado de 1974, con el propósito de resguardar todos los materiales audiovisuales que se habían producido en Francia, o que tenían una relación con este país. Su primer director fue el poeta Pierre Emmanuel. En 1992, la jurisdicción de los materiales que se tenían que archivar se extendió a los materiales producidos por la radio y la televisión en Francia. Actualmente cuenta con una biblioteca física y una digital, donde se pueden consultar materiales de tipo sonoro y audiovisual, producidos no sólo en Francia, sino en otros países como Afganistán y Camboya. (Fuente: http://www.institut-national-audiovisuel.fr/nous-connaitre/entreprise/1974-1985.html )","Roberto Rossellini (Roma, 1906 - ivi, 1977) Nace en Roma en 1906 y, a mitad de los años treinta, se acerca al cine y realiza, como montador y como director, algunos cortometrajes para el Istituto Luce: ""Dafne (Daphne)"" (1936), ""Fantasia submarina (Fantasia sottomarina)"" (1939) y ""Il ruscello di Ripasottile"" (1941) Después de un periodo de crisis artística y personal, caracterizado por un largo viaje a la India durante el cual irá recogiendo material para realizar un homónimo film documental en 1958, dirige películas formalmente impecables pero que no llegan a ser perfectas: "" El general de la Rovere (Il generale della Rovere)"" (1959), ""Fugitivo en la noche (Era notte a Roma)"" (1960) y ""Viva Italia (Viva l'Italia)"" (1961). A continuación, se dedica exclusivamente a dirigir trabajos de carácter divulgativo y didáctico pensados para la televisión: ""La edad del hierro (Età del ferro)"" (1964), ""Atti degli Apostoli"" (1968) y ""Sócrates (Socrate)"" (1970) son algunos de los títulos filmados que, sin embargo, poseen un reducido interés artístico, salvo ""La toma del poder por parte de Luis XIV (La prise du pouvoir de Louis XIV)"" (1967), realizado para la televisión francesa y a la altura de sus mejoras obras. Al final, vuelve al cine y realiza, por ejemplo, ""Anno uno"" (1974) y ""Il Messia"" (1976), dos películas que tratan temas ya afrontados en el pasado pero sin la fuerza y convicción de entonces.Muere en Roma el 3 de junio de 1977. (Extraído de http://www.italica.rai.it/esp/cinema/biografias/rossellini.htm)",Donación,
MXIM-AV-1-7-5,Les Maitres fous (Los amos locos),Films de la Pleïade,Pierre Braunberguer,,"Fue creada o fundada por Pierre Braunberger en 1945. (Fuente: http://www.technicolorfilmfoundation.org/fr/accueil/partenaires/les-films-de-la-pleiade-et-les-films-du-jeudi.html ) La cartelera de esta compañía productora era extensa, producían desde filmes vanguardistas, pasando por filmes netamente comerciales, hasta innovadores trabajos realizados por los directores de la denominada Nueva Ola como Jean Pierre Melville, quien colaboró con Braunberger en la adaptación de la novela El silencio del mar en 1947 y 1948. Les Films de la Pléiade también incursionó en el cine documental, y apoyó al documentalista etnográfico Jean Rouch. A través de esta compañía productora, muchos cineastas franceses, que después alcanzarían fama nacional e internacional, pudieron crecer el ámbito cinematográfico como Alan Resnais, Jean Luc Godard, entre otros. (Fuente: Nelmes, Jill, An introduction to film studies, Routledge, Glasgow, Gran Bretaña, 2003, p. 433) ","Jean Rouch nació en Francia el mayo de 1917. Trabajó como ingeniero civil en el afluente del río Níger, en África, en 1941; después comenzó su carrera como cineasta. Fue un cineasta y antropólogo francés, mundialmente reconocido como uno de los cineastas más creativos en la historia cinematográfica del siglo XX. En sus trabajos documentales y cinematográficos siempre trato de encuadrar no sólo aspectos de carácter social, sino todo tipo de “particularidades”, tales como los sueños, la religión, las creencias, la imaginación, y la cotidianidad. En sus más de cincuenta años de carrera como cineasta, Rouch intentó registrar todos estos aspectos en distintos lugares, principalmente en el continente africano y europeo. Junto con Dziga Vertov y Robert Flaherty, fundadores y promotores del cine verité, Rouch es considerado uno de los creadores de una corriente que él llamo cine directo. Esta corriente comprende un cambio en la técnica y en la metodología cinematográfica que trata directamente al sujeto que aparece en pantalla, pretendiendo que interactúe con la cámara y no que la ignore, y pretendiendo también que la figura del director/realizador/camarógrafo tampoco sea ignorada por el sujeto que está en encuadre. Una técnica que la Antropología adoptó para la metodología de sus diversos estudios, y que posteriormente se denominó como Antropología Visual(Fuente: Gaspar de Alba, Rosa Elena, “Jean Rouch: El cine directo y la Antropología Visual”, Revista de la Universidad de México, México, 2005, pp. 96-98)",,
MXIM-AV-1-7-6,Mammy Water (Madre del agua),Les Films de la Pléiade,Pierre Braunmerger,,"Fue creada o fundada por Pierre Braunberger en 1945. (Fuente: http://www.technicolorfilmfoundation.org/fr/accueil/partenaires/les-films-de-la-pleiade-et-les-films-du-jeudi.html ) La cartelera de esta compañía productora era extensa, producían desde filmes vanguardistas, pasando por filmes netamente comerciales, hasta innovadores trabajos realizados por los directores de la denominada Nueva Ola como Jean Pierre Melville, quien colaboró con Braunberger en la adaptación de la novela El silencio del mar en 1947 y 1948. Les Films de la Pléiade también incursionó en el cine documental, y apoyó al documentalista etnográfico Jean Rouch. A través de esta compañía productora, muchos cineastas franceses, que después alcanzarían fama nacional e internacional, pudieron crecer el ámbito cinematográfico como Alan Resnais, Jean Luc Godard, entre otros. (Fuente: Nelmes, Jill, An introduction to film studies, Routledge, Glasgow, Gran Bretaña, 2003, p. 433) ","Jean Rouch nació en Francia el mayo de 1917. Trabajó como ingeniero civil en el afluente del río Níger, en África, en 1941; después comenzó su carrera como cineasta. Fue un cineasta y antropólogo francés, mundialmente reconocido como uno de los cineastas más creativos en la historia cinematográfica del siglo XX. En sus trabajos documentales y cinematográficos siempre trato de encuadrar no sólo aspectos de carácter social, sino todo tipo de “particularidades”, tales como los sueños, la religión, las creencias, la imaginación, y la cotidianidad. En sus más de cincuenta años de carrera como cineasta, Rouch intentó registrar todos estos aspectos en distintos lugares, principalmente en el continente africano y europeo. Junto con Dziga Vertov y Robert Flaherty, fundadores y promotores del cine verité, Rouch es considerado uno de los creadores de una corriente que él llamo cine directo. Esta corriente comprende un cambio en la técnica y en la metodología cinematográfica que trata directamente al sujeto que aparece en pantalla, pretendiendo que interactúe con la cámara y no que la ignore, y pretendiendo también que la figura del director/realizador/camarógrafo tampoco sea ignorada por el sujeto que está en encuadre. Una técnica que la Antropología adoptó para la metodología de sus diversos estudios, y que posteriormente se denominó como Antropología Visual(Fuente: Gaspar de Alba, Rosa Elena, “Jean Rouch: El cine directo y la Antropología Visual”, Revista de la Universidad de México, México, 2005, pp. 96-98)",,
MXIM-AV-1-7-7,"Moi, un noir (Yo, un negro)",Les Films de la Pléiade,Pierre Braunmerger,,"Fue creada o fundada por Pierre Braunberger en 1945. (Fuente: http://www.technicolorfilmfoundation.org/fr/accueil/partenaires/les-films-de-la-pleiade-et-les-films-du-jeudi.html ) La cartelera de esta compañía productora era extensa, producían desde filmes vanguardistas, pasando por filmes netamente comerciales, hasta innovadores trabajos realizados por los directores de la denominada Nueva Ola como Jean Pierre Melville, quien colaboró con Braunberger en la adaptación de la novela El silencio del mar en 1947 y 1948. Les Films de la Pléiade también incursionó en el cine documental, y apoyó al documentalista etnográfico Jean Rouch. A través de esta compañía productora, muchos cineastas franceses, que después alcanzarían fama nacional e internacional, pudieron crecer el ámbito cinematográfico como Alan Resnais, Jean Luc Godard, entre otros. (Fuente: Nelmes, Jill, An introduction to film studies, Routledge, Glasgow, Gran Bretaña, 2003, p. 433) ","Jean Rouch nació en Francia el mayo de 1917. Trabajó como ingeniero civil en el afluente del río Níger, en África, en 1941; después comenzó su carrera como cineasta. Fue un cineasta y antropólogo francés, mundialmente reconocido como uno de los cineastas más creativos en la historia cinematográfica del siglo XX. En sus trabajos documentales y cinematográficos siempre trato de encuadrar no sólo aspectos de carácter social, sino todo tipo de “particularidades”, tales como los sueños, la religión, las creencias, la imaginación, y la cotidianidad. En sus más de cincuenta años de carrera como cineasta, Rouch intentó registrar todos estos aspectos en distintos lugares, principalmente en el continente africano y europeo. Junto con Dziga Vertov y Robert Flaherty, fundadores y promotores del cine verité, Rouch es considerado uno de los creadores de una corriente que él llamo cine directo. Esta corriente comprende un cambio en la técnica y en la metodología cinematográfica que trata directamente al sujeto que aparece en pantalla, pretendiendo que interactúe con la cámara y no que la ignore, y pretendiendo también que la figura del director/realizador/camarógrafo tampoco sea ignorada por el sujeto que está en encuadre. Una técnica que la Antropología adoptó para la metodología de sus diversos estudios, y que posteriormente se denominó como Antropología Visual(Fuente: Gaspar de Alba, Rosa Elena, “Jean Rouch: El cine directo y la Antropología Visual”, Revista de la Universidad de México, México, 2005, pp. 96-98)",,
MXIM-AV-1-7-8,Nuit et Brouillad (Noche y niebla),Argos Films,Anatole Dauman,,"En 1951, Anatole Dauman fundó la compañía productora Argos Films, en colaboración con Philippe Lifchitz. Esta compañía jugó un papel esencial en la formación de los cineastas franceses que con el tiempo serían clasificados dentro de una corriente cinematográfica llamada La Nueva Ola, gracias a esta compañía cineastas como Alain Resnais, Jean Luc Godard, Robert Bresson, Chris Marker, entre otros, tuvieron la oportunidad de realizar sus trabajos cinematográficos. Dentro de la producción de Argos Films hay todo género de producciones cinematográficas, desde cortometrajes hasta largometrajes, principalmente inspirados en el trabajo del documentalista italiano Luciano Emmer. (Fuente: http://www.mrmovietimes.com/celebrity/anatole-dauman.html; http://www.allmovie.com/artist/anatole-dauman-p86783; http://en.wikipedia.org/wiki/Night_and_Fog_(1955_film); http://www.filmaffinity.com/es/film133039.html )","Jean Rouch nació en Francia el mayo de 1917. Trabajó como ingeniero civil en el afluente del río Níger, en África, en 1941; después comenzó su carrera como cineasta. Fue un cineasta y antropólogo francés, mundialmente reconocido como uno de los cineastas más creativos en la historia cinematográfica del siglo XX. En sus trabajos documentales y cinematográficos siempre trato de encuadrar no sólo aspectos de carácter social, sino todo tipo de “particularidades”, tales como los sueños, la religión, las creencias, la imaginación, y la cotidianidad. En sus más de cincuenta años de carrera como cineasta, Rouch intentó registrar todos estos aspectos en distintos lugares, principalmente en el continente africano y europeo. Junto con Dziga Vertov y Robert Flaherty, fundadores y promotores del cine verité, Rouch es considerado uno de los creadores de una corriente que él llamo cine directo. Esta corriente comprende un cambio en la técnica y en la metodología cinematográfica que trata directamente al sujeto que aparece en pantalla, pretendiendo que interactúe con la cámara y no que la ignore, y pretendiendo también que la figura del director/realizador/camarógrafo tampoco sea ignorada por el sujeto que está en encuadre. Una técnica que la Antropología adoptó para la metodología de sus diversos estudios, y que posteriormente se denominó como Antropología Visual(Fuente: Gaspar de Alba, Rosa Elena, “Jean Rouch: El cine directo y la Antropología Visual”, Revista de la Universidad de México, México, 2005, pp. 96-98)",,
MXIM-AV-1-7-9,South of the border in traction,Interurban Films ,Ira L. Sweet / Mac Sebree,,"Interurbano Prensa era una editorial pequeña de propiedad privada estadounidense, especializada en libros sobre los tranvías , otras formas de ferrocarril de tránsito y ferrocarriles en América del Norte, a partir de 1943 hasta 1993. Se basaba en la zona de Los Angeles, y específicamente en Glendale , California después de 1976. A pesar de su enfoque principal estaba en los libros, publicó tres revistas a partir de la década de 1980, junto con los videos y calendarios . 
Originalmente llamado Interurbans , la compañía desarrolló un boletín  mimeógrafo distribuido por su fundador, Ira L. Swett, en 1943. El Interurbans News Letter fue para amantes de los trenes eléctricos y cualquier persona interesada en los tranvías o eléctrica interurbanos como un hobby. Swett inicialmente escribió el boletín durante su permanencia en Fort MacArthur como  soldado de primera clase del Ejército de EE.UU. Las primeras ediciones fueron pensadas ​​para transmitir noticias sobre los tranvías y ferrocarriles interurbanos en los EE.UU. a fans estacionados en el extranjero durante la Segunda Guerra Mundial . Muchos de sus lectores se convirtieron en corresponsales voluntarios, con el envío de noticias de la evolución eléctrico de tránsito en sus localidades para la inclusión en el boletín. Swett también comenzó a publicar libros -que él llamó Interurbanos ""Especiales"" -la historia de un sistema de tranvía en particular o tema relacionado. La primera, en 1944, era el ""Big Subs"" (coches suburbanos grandes), sobre un grupo de coches interurbanos utilizados en una línea entre San Francisco y San Mateo a partir de 1907 hasta 1923.  Se suspendió el boletín en diciembre de 1948, para concentrarse posteriormente en investigar y escribir libros, que él todavía llama ""Especiales"", sobre sistemas de tranvía estaban siendo abandonados en ciudades de todo América del Norte en ese momento y durante los siguientes dos décadas, lo que aumenta en los fans el interés en las historias de los sistemas de grabación. Swett escribió cerca de 50 libros pero también editó manuscritos de otros. El primer libro de ferrocarril que no sea eléctrico publicado por Interurbans era Trolley Seattle , en 1971, y la compañía más tarde publicó otros libros sobre los trolebuses , pero la mayoría de sus títulos eran acerca de las líneas ferroviarias eléctricas u otros tipos de transporte ferroviario.
Cuando Ira Swett murió en 1975, dejó la compañía a su amigo y colaborador, G. Mac Sebree , que compartió el amor de Swett por el tema y había trabajado profesionalmente como periodista en Albuquerque y todavía estaba trabajando (hasta 1982) para United Press International . Sebree reorganizó la compañía como interurbano de Prensa y contrató compañero Jim Walker como su vicepresidente.
En 1981, Interurbano adquirió los derechos de venta al ferrocarril y títulos de libros Trans anglo-americanos occidentales, otro Glendale-basada pequeña prensa  Durante la década de 1980 la empresa también añadió vídeos y calendarios para su línea de productos, que se venden bajo la marca ""Interurbanos Films"". (Antes de VHS se volvieran de uso común, Interurbano Press había ofrecido un pequeño número de películas en Regular-8 o Super 8 formato.)
En 1992 y 1993, Interurbano Press publicó también la Guía Norteamericana Tren Ligero Anual y del usuario, sobre los actuales sistemas de tren ligero en los Estados Unidos, Canadá y México. Una tercera edición fue publicada en 1994 por el sucesor de la empresa (aunque todavía editado por Mac Sebree), pero que resultó ser la edición final de ese año, que había vendido unos 10.000 ejemplares al año. Mac Sebree se retiró en 1993 y vendió Interurbano Pulse para Pentrex, que no siguió publicando bajo el nombre Interurbano Press.","George McClellan Sebree III (26 agosto 1932-7 marzo 2010),  más conocido como Mac Sebree , era periodista, escritor y editor, cuyo campo de especialización era el transporte urbano público , especialmente el tránsito ferroviario . Él también era propietario y presidente de la editorial, Interurbano Press., desde 1975 hasta 1993. Además de la escritura y la publicación de material histórico, también siguió los desarrollos contemporáneos en materia de transporte ferroviario, y por la década de 1990 se había convertido en un experto en el tren ligero en América del Norte. ",,
