DÉCADA 1940-1949,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-6-1,A diary for Timothy,Usos reservados para consulta in situ,,Inglés,,,DVD,,,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons (Farrebique y las cuatro estaciones),Usos reservados para consulta in situ,,Francés,,"Francés, inglés, español.",DVD,2 dvd, copias,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),Usos reservados para consulta in situ,,Español,,,VHS,"1 dvd, 1 vhs",copia,Color,,NTSC,,"Reproductor DVD, VHS y monitor"
MXIM-AV-1-6-4,Le chaudronnier (El calderero),Usos reservados para consulta in situ,,Francés,,,DVD,,,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-5,Le Tonnelier (El Tonelero),Usos reservados para consulta in situ,,Francés,,,DVD,,,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-6,Le sang des bêtes (La sangre de las bestias),Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd ,copia,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-7,Listen to Britain (Escucha a Bretaña),Usos reservados para consulta in situ,,Inglés,,,DVD, 2 dvd,copia,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-8,London can take it! (Londres puede soportarlo o Londres resiste),Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,blanco y negro,Monoaural,,,Reproductor DVD y monitor
MXIM-AV-1-6-9, México durante el siglo XIX ,Usos reservados para consulta in situ,,Español,,,,"1 dvd, 1 vhs",copia,blanco y negro,Monoaural,,,"Reproductor DVD, VHS y monitor"
MXIM-AV-1-6-10,Van Gogh,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,copia,blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-6-11,Words for battle (Palabras para la batalla),Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-6-12,Cine Mundial: revista fílmica  ,Usos reservados para consulta in situ,,Español,,,,"1 dvd, 1 vhs",copia,blanco y negro,Monoaural,,,"Reproductor DVD, VHS y monitor"
MXIM-AV-1-6-13,México hacia el futuro,Usos reservados para consulta in situ,,Español,,,,"1 dvd, 1 vhs",copia,blanco y negro,Monoaural,,,"Reproductor DVD, VHS y monitor"
