 DÉCADA 1980-1989,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-10-1,Victoria de un pueblo en armas ,"Este breve documental muestra la historia de la organización política en los primeros años de la década de los '70s y la victoria militar del Frente Sandinista de Liberación Nacional (FSLN) en la tarea de la Revolución Popular Sandinista (RPS) de transformar Nicaragua, enmarcados en la Justicia Social, el Desarrollo Económico y la  Solidaridad. Por las imágenes de gran valor histórico (entrevistas con dirigentes del FSLN, miembros de la dictadura, escenas de combate, rendición de la GN y la victoria contundente del pueblo vanguardizado por el FSLN), este es un documental muy importante para entender mejor la historia de la lucha revolucionaria en Nicaragua.
http://sandino.typepad.com/poltica_nica/2011/09/fsln-un-pueblo-en-armas.html","Augusto César Sandino, Anastasio Somoza, Rigoberto Gómez Pérez, Frente Sandinista de Liberación Nacional, Julio Buitrago, Junta de Gobierno",Nicaragua,"1927, 1934, 1956, 15 de julio de 1969, 1972, 1974",Película documental,,"Registros fílmicos de archivo, testimonios videorales, testimonios orales, hemerografía, fotografías","Grabación de campo, entrevistas, intertítulos, música de época, incidentales, voz en off, conducción",,35 mm,
MXIM-AV-1-10-2,Antonio Gaudí,"El arquitecto catalán Antonio Gaudí (1852-1926) diseñó algunos de los edificios más asombrosos del mundo, así como interiores y parques; con la obra de Gaudí, el director japonés Hiroshi Teshigahara ha construido una de las películas más estéticamente audaces jamás realizadas. Aquí su arte se funde en una apasionante experiencia cinematográfica. Menos que un documental es un poema visual; Teshigahara lleva a los televidentes en un viaje a través de la arquitectura espectacular de Gaudí, incluyendo su masiva, aún inacabada obra maestra, la Sagrada Familia de Barcelona. Con el trabajo de cámara tan audaz y sensual como las curvas de las estructuras orgánicas de su sujeto, Teshigahara logra inmortalizar a Antonio Gaudí en su película.",Antonio Gaudí,"Bellesguard, Templo de la Sagrada Familia, La Casa Galvet, Colegio Teresiano, barrio de Sant Gervasi, Casa Battló, Paseo de Gracia, Casas Milá, Paseo de Gracia, Barcelona, España.",,Película documental,,,,,VHS,"Trailer, subtitulos"
MXIM-AV-1-10-3,Biquefarre ,"Biquefarre es una pequeña granja en Aveyron. Al menos dos agricultores vecinos quieren comprar Biquefarre: Lucien y el joven Marcel. Detrás de las escenas, Henri, cuyo hermano es el padre de Marcel y quien también es de Lucien hermano-en-ley, negocia con Raul lo que el padre de Marcel puede endulzar en secreto la oferta de Marcel. ¿Tendrán éxito papá y su tío? En el fondo es el duro trabajo diario de la agricultura: ordeñar vacas, la cosecha en la noche y la búsqueda de ayuda cuando un agricultor cae enfermo. El progreso trae retos: agua contaminada, las granjas industriales y la subida de los precios del suelo.",,"Aveyron, Tolouse, Francia.",Edad media,Película documental,Docudrama,,,,VHS,
MXIM-AV-1-10-4,Cannibal Tours,"Un viaje hecho por un grupo de australianos a través de los vestigios de antiguos pueblos en el noreste del continente africano bastante características: practicaban el canibalismo como forma ritual mágico-propiciatoria, o en ocasiones, como castigo por crímenes o violación de leyes sagradas. En la actualidad, los lugareños sobreviven gracias a la explotación y enzalsamiento de dichos acontecimientos frente al turista internacional, encontrándose en un choque de civilizaciones totalmente opuestas. Se ve, por otro lado, que dicha colisión no es sólo en el ámbito cultural, sino también en el económico, marcándose una distancia abismal entre quienes viven de tan enigmático pasado y los que llegan del mundo moderno, ya sea para realizar estudios académicos o simplemente de visita.",  ,"Mendam, Bin, Tambanum, Korogo, Angoram, Kambaramba, Waskuk, Albom, Kanganaman, Yentchen, Avatip, Palambel, Timbunke, Swagup. Ambuntl, Kaminibit, Wombun, Kandangal. Río Sepik Papua Nueva Guinea, Chambri Lakes, Sepik River, ", ,Película documental,,"Registros fílmicos, fotografía, testimonios videorales","Entrevista, grabación de campo, testimonios orales, testimonios videorales",,VHS,
MXIM-AV-1-10-5,Tlacuilo,"Esta película, realizada con técnicas de animación cinematográfica, es un viaje lleno de sorpresas a nuestro pasado. Nos adentra en el momento culminante de la vida de los aztecas, descubriéndonos una invención cultural nacida de este lado del mundo: la escritura náhuatl. Esta no se desarrolla ni sobre líneas rectas ni sobre columnas verticales u horizontales. Los contornos y colores de cada figura de los códices se pueden leer. La palabra tlacuilo quiere decir ""quien escribe pintando"". Eran hombres y mujeres, hábiles en el dibujo, a quienes desde niños se les adiestraba en el conocimiento profundo de lengua y cultura. Maestros del conocimiento, sabios y artistas, eran al mismo tiempo pintores y escultores.","Antonio de Mendoza, Carlos V, Moctezuma Xocoyotzin, Chimalpopoca, Xiuhcatzin, Atototlzin, Acolhua, Tenochtzin, Netzinetzin, ","Tenochtitlán, Biblioteca Bodleiana de Oxford Inglaterra, Culhuacan, Tenayuca, Cuauhnahuac, Cuernavaca, ","1521, siglo XVIII,  ",Película documental,,Códice Mendocino.,"Animación, voz en off, música en off",,VHS,
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon,El documental es acerca de la ceremonia dedicada por el pueblo estadounidense a John Lennon después de su asesinato. Los 10 minutos de silencio en el Central Park de Nueva York permite una observación profunda de las personas particularmente inmóviles: //www.imdb.com/title/tt0175569/,,New York,1980,Reportaje,,,Grabación de campo,,35 mm,
MXIM-AV-1-10-7,Una mayordomía,El documental registra cómo las celebraciones religiosas son el factor que integra socialmente al pueblo indígena popoluca. Describe el desarrollo de la fiesta patronal y la organización de la comunidad para llevar a cabo las actividades de orden económico y logístico que implica una mayordomía. Estos acontecimientos promueven la cohesión social y no permiten la acumulación económica dispar.,"Leandro Pérez, Guillermo ""Simón"" Rodriguez, Andrés Marquez Cruz, Antonio Santiago Gómez, Teófilo Rodríguez López.","San Fernando, Ocozotepec, Colonia, Morelos, Piedras Labradas, Ocotal Chico, Ocotal Grande, Amamaloya, Popoluca, San Pedro Soteapan, Veracruz.",18 de marzo de 1980,Película documental,,,"Entrevista, grabación de campo, música de época, incidentales",,VHS,
MXIM-AV-1-10-8,El Blanquita,"Breve reportaje sobre el espectáculo montado en el Teatro de revista ""Blanquita"", comentado por el público y por los integrantes del elenco mismo en los años 70´s y 80´s. Se muestran algunas pequeñas entrevistas hechas tanto a gente que asiste al espectáculo nocturno como a los actores del show, así como la secuencia de uno en el converge todo tipo de clase socioeconómica. ",,Teatro Blanquita,década de los 80's ,Película documental,,,"Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,Los kikapúes se establecieron en México a finales del siglo XIX huyendo de la política de reservaciones norteamericanas. En la actualidad tienen paso libre en la frontera y trabajan como jornaleros agrícolas en Estados Unidos de mayo a octubre; de noviembre a abril viven en México cumpliendo con sus tradiciones y costumbres. Esta película es el primer registro audiovisual que se realizó con este pueblo. ,"Kikapúes, Confederación de Indios Americanos, Foxen, Sioux, Panquten, Benito Juárez, Porfirio Díaz, ","El Nacimiento, Municipio de Múzquiz, Coahuila, Jiménez, Oklahoma, ","siglo XVII, siglo XIX, 1866, ",Película documental,,"Pintura, grabado, programa de TV","Entrevista, grabación de campo",,VHS,
