DÉCADA 1930-1939,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-5-1,Á propos de Nice,
MXIM-AV-1-5-2,Coal Face,
MXIM-AV-1-5-3,Triumph des willens,
MXIM-AV-1-5-4,Housing Problems,
MXIM-AV-1-5-5,"La natation par Jean Taris champion de France (Taris, rey del agua)",
MXIM-AV-1-5-6,Las hurdes,
MXIM-AV-1-5-7,Night Mail,"El dvd contiene además un documental ""Des idees, des hommes, des ouvres"" con duración de 30'"
MXIM-AV-1-5-8,The Plow That Broke the Plains ,
MXIM-AV-1-5-9,The river,
MXIM-AV-1-5-10,The spanish earth,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 946.077 TIE.e"
MXIM-AV-1-5-11,Tri pesni o Lénine,
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel,
MXIM-AV-1-5-13,Un pioniere del cinema scientifico. Roberto Omegna 1876-1948,"Falla entre el minuto 19:40 y 24:00 se interrumpe la reproducción, reanudar la reproducción despues de ese minuto, manualmente"
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,"Películas restauradas por la Dirección de Proyectos e Iniciativas Culturales. Consejería de Presidencia. Comunidad Autónoma Región de Murcía y ""MURCIA CULTURAL, S.A."" De 1931 a 1935 Val del Omar realizó centenares de fotografías y decenas de películas documentales sobre la labor de las MISIONES PEDAGÓGICAS y su MUSEO DEL PUEBLO. Muchas de las fotografías  fueron publicadas en las Memorias del Patronato de Misiones y en la revista de la Residencia de Estudiantes pero casi todas las películas están todavía desaparecidas.  Cristóbal Simancas, ayudante y amigo de Val del Omar, conservó durante toda su vida las copias en positivo directo de este valioso material. Estas copias han subsistido a distintas etapas históricas y geográficas: desde la guerra civil en Madrid, la larga estancia de Simancas en Caracas (Venezuela) y finalmente su retiro en La Nucia (Alicante). En 1994 Cristóbal Simancas las donó a María José Val Del Omar a cuyo recuerdo está dedicada esta restauración. Los audiovisuales  no se encuentran físicamente"
MXIM-AV-1-5-16,Barong-Kèkèt-Tanz auf Bali (Danza Barong-Keket en Bali),No se encuentra físicamente
