 DÉCADA 1960-1969,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-8-1,La pyramide humaine,"La llegada de una nueva alumna, Nadine, es el punto de partida de un análisis de las relaciones interraciales en un Liceo de Abidján en Costa de Marfil. Reunidos por Jean Rouch, los alumnos interpretan a su propio personaje en una ""ficción"" que se desarrolla a través de las nuevas relaciones entre blancos y negros, escenificando los lazos de amistad y las relaciones sentimentales. (FILMAFFINITY)",,,,Película documental,,"Testimonios orales, grabación de campo, música de época"," Narración en off, conducción, intertítulos",,1 dvd ,
MXIM-AV-1-8-2,Tire Dié,"Muestra a los niños de una barriada santafecina quienes, a riesgo de sus vidas, acuden para pedir monedas a los trenes que avanzan por un puente de dos kilómetros de largo. A través de una serie de entrevistas se denuncia la situación de abandono social al que son sometidos.",Juan de Garay,"Argentina: Santa Fé, Mitre, Rosario, Buenos Aires, Bajos del salado, ","1573, 1956-1957-1958",Película documental,,,,,VHS,1 dvd
MXIM-AV-1-8-3,A Valparaiso,"El documentalista holandés Joris Ivens asociado al cine club que por ese tiempo funcionaba en la Universidad de Chile realiza este cortometraje de la ciudad de Valparaiso en Chile, mostrando el singular paisaje de un lugar que habita con un pie en el cerro y otro en el mar, anclada en un tiempo que desapareció luego de la apertura del Canal de Panamá, lo que congeló su existir de principal puerto del pacífico sur por aquel tiempo. Con perfecto ritmo visual y hermoso relato realizado por otro grande como Chris Marker, este documental busca mostrar las contradicciones y singularidades de una ciudad formada por marineros de todos lados del mundo (españoles, ingleses,franceses,etc), quienes luego de la apertura del Canal de Panamá dejan una ciudad casi inmóvil al paso del tiempo, con una población que en la actualidad habita los mismas calles formadas un siglo atrás. (http://www.chilecomparte.cl/topic/928550-joris-ivens-a-valparaiso-1962-subtitulos/)",,,,Película documental,,"Cartografía, pintura, dibujo, grabación de campo, música de época","Narración en off, conducción,  animación",,,
MXIM-AV-1-8-4,Skizbe,"La filmografía oficial de Pelechian comienza con esta película titulada precisamente: El Principio. En ella se muestran los hechos históricos que cambiaron el curso de la historia del s. XX tras la Revolución de Octubre de 1917. A través del uso de fotografías, grabaciones de estudio y material de archivo y mediante un montaje totalmente experimental, Pelechian hace un retrato de la historia reciente, marcada por un extraordinario número de levantamientos y derramamientos de sangre. Más que un recuento de la historia de Rusia, se trata de una representación simbólica del movimiento revolucionario.",Lenin,Rusia,1917,Película documental,Footage,"Fotografía, registros fílmicos",Incidentales,,,
MXIM-AV-1-8-6,Chiefs (Jefes),"Leacock y Noel Parmentel Jr., descubrieron la convención de un jefe de la policía en Hawai y decidieron filmarlo. La policía lo mostró en una convención nacional para evidenciar su imagen pública ilustre. Más tarde, cuando la vio correr como un corto con MONTEREY POP se dio cuenta de que para la audiencia juvenil de esa película, su imagen no era lo que habían asumido. No se mostró en la siguiente convención: DA Pennebaker http://phfilms.com/index.php/phf/film/chiefs_1968/",," Waikiki Beach, Honolulu, O'ahu, Hawaii, USA",,Película documental,,"Fotografía, testimonios video orales, grabación de campo",Incidentales,,,
MXIM-AV-1-8-7,Chronique d'un été,"Además de ser una encuesta sociológica, Rouch y Morin plantean en Chronique d'un été una reflexión muy similar a la llevada a cabo por la Nouvelle Vague. A lo largo de la película en la que los directores recogieron el día a día cotidiano de París, se puede apreciar como la reflexión entre los hombres y su tiempo está muy vinculada a la relación del hombre con el cine. Al final de la cinta, los directores recogen el momento en el que exhiben el material rodado ante sus protagonistas, los cuales ofrecen sus puntos de vista acerca de lo que han visto. (FILMAFFINITY)","Marceline, Morin, Daniel, Nadine, Madi, Angelo, Landry, Simone, Jacques, Marilou, Jean-Pierre, Regis, Raymond, Michel, Catherine, Sophie, Maxie","Paris, Francia,Camarga, Villenueve sur Lot, Renault, Africa,Clichy, Buttes Chaumont, Italia, Cremona, Argelia, Congo, Leopoldville, Costa de Marfil, Plaza de la Concordia, Renault, Saint Tropez",1960,Película documental,,"Registros fílmicos, testimonios video orales, grabación de campo, entrevistas","Narración en off, incidentales",,VHS,
MXIM-AV-1-8-8,Comizi d´amore,"Micrófono y cámara en mano, Pasolini filmó este documental en 1963, con la intención de reflejar la mentalidad italiana con respecto a la sexualidad y a las relaciones amorosas. Para ello viajó al sur y al norte, a las ciudades y a los campos, Entre los entrevistados se encuentran el poeta y premio Nobel Ungaretti y el novelista Alberto Moravia. (FILMAFFINITY)",Cesar Mussatti y Alberto Moravia,"Italia, Palermo, Monza, Roma, Milán, Bolonia, Sicilia, Calabria, Venecia, toscana, Nápoles, Florencia, Camporeale, ",1965,Película documental,,"Testimonios  video orales, fotografía, grabación de campo, música de época, entrevistas","Narración en off, conducción,  intertítulos",,,
MXIM-AV-1-8-9,Don't look back (No mires atrás),"En la primavera de 1965, el joven cantautor de Minnesota Bob Dylan realizó una gira por Inglaterra durante tres semanas. La cámara le sigue desde el aeropuerto hasta el hotel, del hotel hasta los escenarios, donde canta junto a amigos y artistas como Joan Baez, Donovan, o el poeta ‘beat’ Allen Ginsberg. Este periodo corresponde al momento en que Dylan evoluciona hacia sonidos eléctricos, un cambio que no agradó a todos los fans.
Documental musical dirigido por uno de los realizadores más especializados en este género, DA Pennebaker, quien inventó junto a Richard Leacock la cámara de 16 mm portátil, con sonido sincronizado, que permitía colocarla en el hombro. Pennebaker realizó ese mismo año la grabación del festival Monterrey Pop, considerado el primer ‘concert film’ -luego vendrían más, como Woodstock- y uno de los mejores en este género.
“No mires atrás” es una combinación de actuaciones musicales y una mirada entre bastidores de uno de los artistas más influyentes en el mundo de la música contemporánea.","Bob Dylan, Albert Grossman, Bob Neuwirth, Joan Baez, Alan Price, Tito Burns, Donovan, Derroll Adams","Gran Bretaña, City Hall, Manchester",1965,Película documental,,"Testimonios video orales, entrevistas, hemerografía, gráficos, música de época, grabación de campo",,,,
MXIM-AV-1-8-10,Menq ," Perturbadoramente poética e intensamente humanista, Nosotros muestra el sufrimiento y la tragedia vivida por el pueblo armenio durante siglos. Pero Nosotros es, en un sentido más amplio, un documento sobre la heroicidad del día a día y la habilidad humana de sobrevivir a pesar de todas las dificultades. ""Hablar del pueblo armenio es una oportunidad para poder hablar sobre el mundo entero, sobre el carácter de la naturaleza humana. El pueblo armenio es tan solo un 'nosotros' dentro de un 'Nosotros' mucho mayor"". Artavazd Pelechian. http://www.play-doc.com/web2012/_video/weC.html",,"Armenia,",,Película documental,Footage,Registros fílmicos,Incidentales,,35 mm,
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana,"Este video intenta mostrar el valor documental que encierran 100 años de fotografía de la sociedad italiana. Basado en una muestra derivada de un estudio de antropología cultural, este video narra la historia social y política de un país a través de fotografías de bodas, principalmente, y retratos familiares que tratan de dar una idea sobre la evolución de la cultura popular italiana basada en el núcleo familiar.",,,,Película documental,,"Documental, testimonios orales, registros fonográficos",,,VHS,
MXIM-AV-1-8-12,Hanoi  Martes 13,"Un magnífico documental que reúne imágenes sobre la invasión norteamericana en Vietnam, en la región de Hanoi, no sin antes recrear una crítica reseña sobre el presidente Lyndon Johnson, alimentada por imágenes y secuencias sobre el gobernante y su papel en el conflicto bélico que tendría gran repercusión en la historia contemporánea del mundo. También es retratada la gran resistencia del pueblo vietnamita por preservar su soberanía e integridad, ante un sinnúmero de factores en contra. Con una estructura poética y narrativa, e incluyendo párrafos de José Martí escritos en 1889, se muestra cómo vivió y luchó por su libertad el pueblo vietnamita a partir del día en que comenzaron los bombardeos a la ciudad de Hanoi, durante la guerra del Vietnam. (FILMAFFINITY)",,,,Película documental,,"Registros fílmicos, fotografías, música de época, grabación de campo",,,VHS,
