DÉCADA 1980-1989,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,Copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-10-2,Antonio Gaudí,Usos reservados para consulta in situ,,Japonés,,Español,DVD,1 dvd ,Copia,Color,Mono,,,Reproductor DVD y monitor
MXIM-AV-1-10-3,Biquefarre ,Usos reservados para consulta in situ,,Francés,,"Inglés, Español",DVD,1 dvd ,Copia,Color,Estéreo,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),Usos reservados para consulta in situ,,"Inglés, Alemán, Italiano, Dialectos de Papua-Nueva Guinea",,Inglés,VHS,"2  vhs, 1 dvd",Copias,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-5,Tlacuilo,Usos reservados para consulta in situ,,Español,,,VHS,"1 vhs, 1 dvd",Copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),Usos reservados para consulta in situ,,,,,DVD,1 dvd,Copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-10-7,Una mayordomía,Usos reservados para consulta in situ,,Español,,,VHS,"1 vhs, 1 dvd",vhs copia de producción                 dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-8,El Blanquita,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,Usos reservados para consulta in situ,,"Español, Inglés, lengua kikapú",,Español,VHS,"1 vhs, 1 dvd ",Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-10,El papel de San Pablito,Usos reservados para consulta in situ,,"Otomí, Español",,,VHS,"1 vhs, 1 dvd ",Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,Copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-10-12,El oficio de tejer,Usos reservados para consulta in situ,,Español,,,,1 vhs ,Copia,,,,,
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,Usos reservados para consulta in situ,,"Náhuatl, Español",,Español,VHS,1 vhs / 1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-14,Entre la presencia y el olvido,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),Usos reservados para consulta in situ,,Francés,,Inglés,DVD,1 dvd ,Copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-10-16,From the Pole to the Equator,Usos reservados para consulta in situ,,Italiano,,Inglés,VHS,1 vhs ,Copia,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-10-17,Jornaleros del tiempo,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),Usos reservados para consulta in situ,,"Inglés, Hopi",,"Español, Italiano, inglés",DVD,1 dvd ,Copia,Color,Dolby Stereo,,,Reproductor DVD y monitor
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,Usos reservados para consulta in situ,,"Español, Lengua indígena",,Español,VHS,1 vhs / 1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-10-21,La neta no hay futuro,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-22,La república perdida II,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,Copia de producción,"Color, Blanco y negro",,PAL,,Reproductor VHS y monitor
MXIM-AV-1-10-23,Laguna de dos tiempos,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,vhs copia de producción  dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan , Ver.",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-25,Lenguaje audiovisual,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,Copia,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-26,Malcolm Lowry en México,Usos reservados para consulta in situ,"Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862230, ediciones@pentagrama.com.mx",Español,,,DVD,2 dvd,Copias de producción,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,Usos reservados para consulta in situ,,Huichol,,Español,VHS,1 vhs / 1 dvd ,vhs copia de producción                 dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-28,Mi hijo el Ché,Usos reservados para consulta in situ,,,,,,2 vhs / 1 dvd ,"1 vhs copia de producción, 1 vhs y 1 dvd copias",,,,,
MXIM-AV-1-10-29,Milano ´83,Usos reservados para consulta in situ,,Italiano,,,DVD,1 dvd ,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),Usos reservados para consulta in situ,,"Francés, Mandarín",,Alemán,DVD,1 dvd,Copia,"Color, Blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-10-31,Nadie es inocente,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-32,"New York, N.Y.",Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd ,Copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-10-33,Sans Soleil,Usos reservados para consulta in situ,,Ingles,,,,1 dvd ,Copia,Color,,NTSC,,
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),Usos reservados para consulta in situ,,,,,,1 dvd ,Copia,,,,,
MXIM-AV-1-10-35,Powaqqatsi,Usos reservados para consulta in situ,,"Inglés, Alemán, Francés, Italiano, Castellano",,"Inglés, Alemán, Francés, Italiano, Castellano, Holandés, Turco, Magyor, Ruso",DVD,1 dvd ,Copia,Color,Dolby Stereo,,,Reproductor DVD y monitor
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",Usos reservados para consulta in situ,,Español,,,VHS,1 dvd / 1 vhs ,Copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-37,Reporters (Reporteros),Usos reservados para consulta in situ,,Francés,,,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd / 1 vhs ,Copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd,Copia,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-10-40,Urgencias,Usos reservados para consulta in situ,,Francés,,Inglés,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""",Usos reservados para consulta in situ,,"Francés, Inuit",,,,1 dvd ,Copia,,,NTSC,,
MXIM-AV-1-10-43,Semana Santa entre los mayos,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd / 1 vhs,Copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",Usos reservados para consulta in situ,,Español,,,VHS,1 dvd / 1 vhs,Copia,Color,,NTSC,,
MXIM-AV-1-10-45,Knochenumbettung,Usos reservados para consulta in situ,,,,,VHS / DVD,1 copia VHS / 1 copia DVD,Copia,Blanco y negro,Sin sonido,NTSC,,Reproductor VHS / DVD y monitor
MXIM-AV-1-10-46,La balada del pequeño soldado,Usos reservados para consulta in situ,,"Español, alemán, inglés",,Español,DVD ,1 dvd ,Copia,Color,,NTSC,Región 2,Reproductor DVD y Monitor 
MXIM-AV-1-10-47,Mer dare ó Nas vek,Usos reservados para consulta in situ,,Titulos en armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 dvd ,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorezo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquón Patinier: El Bautismo de Cristo),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñoas en el embarcadero),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
