 DÉCADA 2000-2009,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Titulo propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-12-1,Chris by Chris,"Un retrato realizado por el director para presentar un ejercicio introspectivo sobre su trabajo, analizando la curaduria de una exposicion sobre algunos de los trabajos de este director.","Michael Shamberg (cinesta), Terry Gilliam (cineasta)",,1994 (exposiciòn),Documental,,"Documentales, testimonios videorales, fotografías, entrevistas, grabración de campo, hemerografía","Narración en off, conducción, intertítulos",,,
MXIM-AV-1-12-2,Adio Kerida,"Adio Kerida es un documental personal que trata sobre la búsqueda de identidad e historia entre un grupo de judíos sefarditas con raíces en Cuba. El título del documental, Adio Kerida, proviene de una canción de amor sefardí, y su propósito es realzar los temas de expulsión, partida y exilio que yacen en el punto crucial del legado sefardita. Al mismo tiempo, el título invoca la energía creativa que se inyecta a una cultura cuando se cruzan las fronteras raciales, étnicas y nacionales. También existe una dimensión personal para el título, y se refiere al deseo de reconciliación entre la directora y su padre sefardita.El documental se compone de narraciones personales, entrevistas íntimas con judíos sefarditas en Cuba y entre el grupo de cubanos en Miami, así como de historias familiares. Estos elementos se entremezclan con minuciosos metrajes de cementerios judíos y nuevos rituales judíos en Cuba para crear una memoria fílmica cuya visión antropológica está singularmente colmada de poesía y humanismo. El resultado es un documental que le da vida a sus diversos protagonistas y nos muestra cómo la directora se transforma por causa de su viaje.http://www.ruthbehar.com/AKAboutSpanish.htm",Fidel Castro,"Cuba: La Habana. Polonia. Rusia. España. Turquía. Estados Unidos: Miami, New York, Michigan. Puerto Rico.","1920, 1956, 1959, 1960, 1961, 1492, 1924, 1914, 1990, 2000, 2001, 1962, 1972, 1491, 1959, 1967  ",Documental,,"Fotografías, documentos, testimonios videorales, hemerografía, grabación de campo, cartografía, entrevistas","Narración off, conducción",,,
MXIM-AV-1-12-3,A grande experiencia,"Documental histórico sobre lo que significó la cruzada jesuíta al cristianizar la región de Río Grande denominada por los expertos como ""La Gran Experiencia"", zona limítrofe entre Paraguay y el Brasil. Se presentan recreaciones sobre distintas crónicas y estudios sobre diversos vestigios arqueológicos de los pueblos indígenas guaraníes; es una invaluable obra documental que ofrece una mirada a retrospectiva acerca de la cultura y el desarrollo de ésta región desde la época colonial hasta nuestros días.",,,,Documental,,"Fotografías, pinturas, grabados, cartografías, testimonios orales, testimonios videorales, documentos","Narración off, conducción",,VHS,
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935","Tres documentales rodados por José Val Del Omar en Lorca, Cartagena y Murcia con ocasión de las Misiones pedagógicas de la República Española.",José Val Del Omar,Lorca. Murcia. Cartagena,1934-1935,Documental,,"Fotografías, pinturas, grabados, cartografías, testimonios orales, testimonios videorales, documentos","Narración off, conducción",,16 mm,"Contiene:  ""Cartel de Ramón Gaya: Misiones Pedagógicas/Mueso del Pueblo"". Fotografía de ""Val del Omar explicando un cuadro de Goya en la plaza de Pedraza (Segovia)"". Fotografía de ""Val del Omar fotografiado fotografiando a los niños en las alpujarras (Granada)"". "
MXIM-AV-1-12-5,Al otro lado,"Magdiel, joven compositor de corridos oriundo de Sinaloa (México) se enfrenta a dos opciones para mejorar su vida: el narcotráfico o la emigración ilegal hacia los Estados Unidos.","Jorge Hernández (Los tigres del norte), Magdiel, Paulino Vargas, Luis Astorga,  Elmer Mendoza, Pancho Villa, Pedro Beltrán, Chalino Sánchez, Pepe Garza, Jenni Rivera, Jessie Morales, Jorge Morales, Emilio Franco, Chris Simcox","México: Sinaloa: La Reforma: Hermosillo. Estados Unidos: California: Los Ángeles. Arizona: Tucson, Holtville. ","1992, 1978 ",Documental,,"Testimonios videorales, registros fílmicos, fotografías, grabación de campo, música de época, entrevistas, registros fílmicos",Narración en off,,Mini DV,
MXIM-AV-1-12-6,A propósito de Buñuel,"Documental sobre la vida y obra del cineasta aragonés. Agresivo, genial, enigmatico, esquivo, Luis Buñuel fue uno de los más importantes artistas del siglo XX. Sus películas, realizadas a lo largo de los cincuenta años que van desde ""Un perro andaluz"" (1929) hasta ""Ese oscuro objeto del deseo"" (1979), siguen manteniendo intactas su maestría y su capacidad de sorpresa. (FILMAFFINITY)","Claudio Isaac, Michel Piccoli , Ángela Molina, José Bello, Jean Claude Carrière, Padre Manuel Mindán, Margarita Buñuel. Ruben Gubern  Entrevistados: María Asquerino, Stéphane Audran, José Luis Barros, Lucía Bosé, Carole Bouquet, Juan Luis Buñuel, Román Gubern, Claudio Isaac, José María Isbert, Marisol Martín del Campo, Manuel Mindán Valero, , Nieves Muñoz Suay, Bulle Ogier, Silvia Pinal, Pere Portabella, Francisco Rabal, Carlos Saura, Delphine Seyrig, Carlos Fuentes, Carlos Savage, Elena Poniatowska.",,,Documental,,"Documentales, fotografías, pinturas, dibujos, hemerografía, documentos, testimonios orales, programas de TV, música de época, grabación de campo","Puesta en escena, narración en off",,DVD,
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),"Un programa más de la serie televisiva ""Archivo Abierto"" transmitido por Canal Once el 24 de octubre de 2004 en el que se presentan dos reportajes y una entrevista: los dos primeros, sobre la telenovela mexicana y sobre los conflictos que enfrenta la adolescencia, respectivamente. La última es una entrevista a Aleida Guevara, hija de Ernesto el ""Ché"" Guevara, en la que da sus puntos de vista sobre la vida y obra del revolucionario cubano-argentino con base en sus memorias.",,,,Documental,,"Documentales, registros fílmicos, fotografías, hemerografía, testimonios orales, testimonios videorales,  programas de TV, multimedia","Puesta en escena, narración en off",,,
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas","Bordeando sobre círculos concéntricos en torno al fenómeno de asesinatos y desapariciones de mujeres en el norte de México, en Ciudad Juárez, Chihuahua, este documental nos acerca a una madre que pierde a su hija y a una trabajadora de la maquila recién llegada de Veracruz, cuyo rostro representa a las mujeres vivas de Juárez. Dos periodistas expertos en el caso explican qué hay detrás del fenómeno. La violencia contra las mujeres se vive y se interpreta de manera distinta.(http://www.cinelatinoamericano.org/ficha.aspx?cod=1853)","Lidia Alejandra Garcia Andrade, Sergia González Rodríguez, Diana Washington, Gaudencia Valencia, Juver, Oscar Máynez, Erika Pérez Escobedo, Sully Ponce, María López Urbina, Víctor García Uribe (El Cerillo), Blanca López Ávalos viuda de Gustavo González Meza, Miriam García, ""Los Rebeldes"" Latif Shariff Shariff, Brisia Yaneth Nevares de los Santos, Neyra Azucena Cervantes, Miguel David Meza Argueta, V-Day,  Jane Fonda, Airis Estrella, Rocío Paola Marín Avila, Rebeca Contreras Mancha, Vicente Fox, Guadalupe Morfin, ","Ciudad Juarez, Chihuahua Chihuahua, El paso Texas, Frontera México/Estados Unidos, Calle Rancho el Becerro, Universidad Autonoma Ciudad Juaréz, Campo algodonero, Centro de Readaptación Social Ciudad Juárez, Cereso Chihuahua, Ciudad de México, "" Los Pinos"" México D.F., Terreno Cristo Negro, Lomas de Poleo, El Paso Times, Minatitlan Veracruz, Cabada, ","Julio 2001, Mayo 2005, 1998 - 2001, Noviembre 2001, 1995, Octubre 2004, 26 enero 2001, abril 2005, 14 de febrero 2004, 15 de mayo de 2005, 28 de Marzo de 2005, 8 de marzo de 2004, Febrero 2002, ",Documental,,"Documentales, registros fílmicos, fotografías, hemerografía, testimonios orales, testimonios videorales,  programas de TV, multimedia","Puesta en escena, narración en off",,VHS,
MXIM-AV-1-12-9,Black-Blob,"Un documental animado que presenta fragmentos de programas de TV, noticieros y reportajes sobre el ambiente tenso que rodeó a la reunión del Grupo de los Ocho en abril de 2001 en Génova, Italia, con la violenta represión en contra de grupos de manifestantes ""globalifóbicos"", plasmada en imágenes y testimonios vivos de los involucrados y de varios analistas.",,,,Documental,,"Documentales, fotografías, testimonios orales, programas de TV, videoclips","Puesta en escena, narración en off",,VHS,
