DÉCADA 1920-1929,,,
,,,
Código de referencia,Título propio,Vínculos externos ,Nombre del archivo de Portada
MXIM-AV-1-6-1,A diary for Timothy,https://www.youtube.com/watch?v=0UuaJPGee20,
MXIM-AV-1-6-2,Farrebique ou Les quatre saisons (Farrebique y las cuatro estaciones),https://www.youtube.com/watch?v=2i0B0ZMm26E,918zB7UEmWL._SL1500_.jpg
MXIM-AV-1-6-3,ICA - Nace una ciudad. Centro urbano Miguel Alemán (1947-1949),,BMG7w6_CQAAFSPL.jpg
MXIM-AV-1-6-4,Le chaudronnier (El calderero),http://www.cimalpes.fr/Films-de-montagne-752-1520-0-0.html,
MXIM-AV-1-6-5,Le Tonnelier (El Tonelero),http://webtv.agriculture.gouv.fr/le-tonnelier-1942-23-minutes-de-g-rouquier-video-1184.html,
MXIM-AV-1-6-6,Le sang des bêtes (La sangre de las bestias),https://www.youtube.com/watch?v=JnZHDrXRrdc,images.jpg
MXIM-AV-1-6-7,Listen to Britain (Escucha a Bretaña),http://www.theguardian.com/film/video/2012/apr/16/bfi-humphrey-jennings-listen-to-britain-video,Listen_to_Britain-title.jpg
MXIM-AV-1-6-8,London can take it! (Londres puede soportarlo o Londres resiste),https://www.youtube.com/watch?v=bLgfSDtHFt8,London Can Take It crop1.jpg
MXIM-AV-1-6-9, México durante el siglo XIX ,,
MXIM-AV-1-6-10,Van Gogh,http://vimeo.com/40796525,vangoghalainresnais1948avi000054600gd0.jpg
MXIM-AV-1-6-11,Words for battle (Palabras para la batalla),https://www.youtube.com/watch?v=tWy2QCP0UqU,Words_for_Battle_C-718870209-large.jpg
MXIM-AV-1-6-12,Cine Mundial: revista fílmica  ,,
MXIM-AV-1-6-13,México hacia el futuro,,
