DÉCADA 1930-1939,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-5-1,Á propos de Nice,,,
MXIM-AV-1-5-2,Coal Face,,,
MXIM-AV-1-5-3,Triumph des willens,,,
MXIM-AV-1-5-4,Housing Problems,,,
MXIM-AV-1-5-5,"La natation par Jean Taris champion de France (Taris, rey del agua)",,,
MXIM-AV-1-5-6,Las hurdes,,,
MXIM-AV-1-5-7,Night Mail,,,
MXIM-AV-1-5-8,The Plow That Broke the Plains ,,,
MXIM-AV-1-5-9,The river,,,
MXIM-AV-1-5-10,The spanish earth,,,
MXIM-AV-1-5-11,Tri pesni o Lénine,,,
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel,,,
MXIM-AV-1-5-13,Un pioniere del cinema scientifico. Roberto Omegna 1876-1948,,,
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,,"Forma parte de la edición Fiestas cristianas y fiestas profanas, 1934-1935                                            MXIM-AV-1-12-4",http://www.valdelomar.com/inicio.php
MXIM-AV-1-5-16,Barong-Kèkèt-Tanz auf Bali (Danza Barong-Keket en Bali),,"Forma parte de la edición  Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen              MXIM-AV-1-12-55",
