DÉCADA 1990-1999,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-11-31,Cuando la rumba nos conoció,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,Región 4,Reproductor DVD y monitor
MXIM-AV-1-11-32,Cuando yo nací como persona,Usos reservados para consulta in situ,,Español,,,"VHS, DVD",1 vhs / 2 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia ,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico",Usos reservados para consulta in situ,,"Español, purépecha",,Español,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915,Usos reservados para consulta in situ,,Holandés,,,VHS,1 vhs ,copia ,Blanco y negro,,NTSC,,
MXIM-AV-1-11-37,Del olvido al no me acuerdo,Usos reservados para consulta in situ,,Español,Portugués,,DVD,1 dvd ,copia de producción ,Color,Dolby digital 5.1,,,Reproductor DVD y monitor
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures,Usos reservados para consulta in situ,,"Samoano, inglés",,Inglés,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-39,Días de albergue,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,copia ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-40,Die mauer,Usos reservados para consulta in situ,,Alemán,,"inglés, italiano, francés, español, tuco, ruso, japonés",DVD,1 dvd ,copia de producción ,"Color, Blanco y negro",Dolby Digital 2.0,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-41,Diva Dolorosa,Usos reservados para consulta in situ,,Muda,,Intertítulos: italiano y holandés,VHS,2 vhs / 2 dvd,copia,Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-42,Ecología y grupos étnicos,Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-43,Efemérides latinoamericanas,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,,,
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,Región 4,Reproductor DVD y monitor
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",Usos reservados para consulta in situ,,Español,,Español,VHS,,,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-47,"El Petén, Guatemala",Usos reservados para consulta in situ,,"Inglés, español",Inglés,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-48,"Colonia Roma, vida y arquitectura",Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-49,Emiliano Zapata,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-50,Ferrocarril a utopía,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-51,Film ist.(1-6),Usos reservados para consulta in situ,,Alemán,,Inglés,DVD / VHS,1 vhs / 1 dvd ,copia,"Color, Blanco y negro",,,,
MXIM-AV-1-11-52,"Miguel Alemán, El presidente empresario",Usos reservados para consulta in situ,,Español,,,VHS,,,"Blanco y negro, color",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-53,"Adria, urlaubsfilme 1958-1964",Usos reservados para consulta in situ,,,,," 1 DVD, 1 VHS",1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor DVD/VHS y monitor
MXIM-AV-1-11-53-1,Film/spricth/viele/sprachen,Usos reservados para consulta in situ,,"Hindi, alemán",,,DVD,,,Color,,,,Reproductor de DVD y monitor
MXIM-AV-1-11-53-2,Film ist als mehr Film,Usos reservados para consulta in situ,,,,,,,,,,,,Reproductor de DVD y monitor
MXIM-AV-1-11-54,Regreso a terra,Usos reservados para consulta in situ,,Portugués,,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-55,Fin de la Guerra,Usos reservados para consulta in situ,,,,,DVD,1 vhs / 1 dvd,copias,"Blanco y negro virado a rojo, verde, azul",,,,Reproductor de DVD y monitor
MXIM-AV-1-11-56,Foutura. A Lobi potter tells her story ,Usos reservados para consulta in situ,,Lobi,,Inglés,VHS,1 vhs 7 1 dvd ,copia,Color ,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-57,Francisco Villa: el Ángel y el Fierro,Usos reservados para consulta in situ,,,,,,1 vhs ,copia de producción,,,,,
MXIM-AV-1-11-58,Frank Lloyd Wright. The office for Edgar J. Kaufman,Usos reservados para consulta in situ,,Inglés,,,VHS,1 vhs ,copia de producción,Color ,Estéreo,NTSC,,
MXIM-AV-1-11-59,Future Remembrance. Photography and Image Art in Ghana,Usos reservados para consulta in situ,,Inglés,,"Inglés, Alemán",VHS,1 vhs / 2 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-60,Guia Too,Usos reservados para consulta in situ,,"Zapoteco, español",,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-61,¡Hay Tamales! La muestra del tamal en México,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-62,Historia Argentina 1776-1880,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs / 1 dvd , 1 vhs copia de producción / 1 vhs y 1 dvd copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-63,Historia Argentina 1880-1930,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs / 1 dvd ,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-64,Historia Argentina 1930-1955,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs / 1 dvd , 1 vhs copia de producción / 1 vhs y 1 dvd copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-65,"Lázaro Cárdenas, Entre el pueblo y el poder",Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-66,Swagatam,Usos reservados para consulta in situ,,"Portugués, hindú",,Inglés,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-67,Vivir en la lucha libre,Usos reservados para consulta in situ,,Español,,,VHS,,,"Blanco y negro, color",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-68,Home of the Wandering Souls,Usos reservados para consulta in situ,,"Suizo, alemán",,Inglés,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-69,"José López Portillo, El abolengo criollo",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia de producción ,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-70,Kayapos. Planet des hommes (Los Kayapos. Planeta de hombres),Usos reservados para consulta in situ,,"Francés, portugués y lengua indígena Kayapo",,Francés,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-71,Këdung Ajdk. Servir al pueblo,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-72,Kurihipuecha en´ka tirekastiksi juatarahua (Los hombres que viven del bosque),Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-73,L' America a Roma,Usos reservados para consulta in situ,,Italiano,,Inglés,,1 vhs / 1 dvd,copias,Color,Dolby sorround,NTSC,,
MXIM-AV-1-11-74,La balada de John O'Rilley,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd,copias,Color,Estéreo,NTSC,,
MXIM-AV-1-11-75,La batalla de Tepoztlán,Usos reservados para consulta in situ,"Eurolationamericana, ciaeurolatina@compuserve.com.mx, alfa@audiovisuales.tv",Inglés,Español,Español,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-11-76,La batalla por Ciudadano Kane,Usos reservados para consulta in situ,,,,,,,,,,,,
MXIM-AV-1-11-77,"Ya baramb tenga: Our ancestors' earth, a mossi village",Usos reservados para consulta in situ,,Moré,,Alemán,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-78,La fiesta del fuego. XIII Festival de la Cultura Caribeña,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-79,La guerra de Chiapas,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia ,"Color, blanco y negro",,NTSC,,
MXIM-AV-1-11-80,La lactancia de Pedrito,Usos reservados para consulta in situ,,,,,,1 vhs ,copia de producción ,,,,,
MXIM-AV-1-11-81,La línea paterna,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia de producción ,Color,,NTSC,,
MXIM-AV-1-11-82,La plaza de los miércoles,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copias de producción,"Color, blanco y negro",,NTSC,,
MXIM-AV-1-11-83,La radio mexicana,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-84,"""Las manitos"", Reproductive Health Campaign, Bolivia",Usos reservados para consulta in situ,,Español,,Inglés,VHS,1 vhs ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-85,Las modernas preparatorias de la generación de los veinte,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-86,La última batalla de Salvador Allende,Usos reservados para consulta in situ,,"Español, inglés",,Español,VHS,1 vhs ,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-87,Lázaro Cárdenas: el hombre y el mito,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-88,Lettere Dall'America,Usos reservados para consulta in situ,,Italiano,,,VHS / DVD,2 vhs / 1 dvd ,Copias,"Color, Blanco y negro",,NTSC,,Reproductor VHS / DVD  y monitor
MXIM-AV-1-11-89,Level Five,Usos reservados para consulta in situ,,Francés,,,,1 vhs / 1 dvd,copias,Color,,NTSC,,
MXIM-AV-1-11-90,"López Mateos, pan y palo",Usos reservados para consulta in situ,,Español,,,,1 vhs ,copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-91,"Los más pequeños, Un retrato del Ejército Zapatista de Liberación Nacional",Usos reservados para consulta in situ,,"Español, tzotzil ",,Español,,1 vhs ,copia,"Color, Blanco y negro",,NTSC,,
MXIM-AV-1-11-92,"Luis Echeverría, La empeñosa ambición",Usos reservados para consulta in situ,,Español,,,,1 vhs,copia de producción ,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-93,Lumiere et Compagnie (Los hermanos Lumiere y Compañía),Usos reservados para consulta in situ,,"Francés, inglés, japonés, griego",,Español,VHS,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-94,Serie 18 lustros de la vida en México en este siglo,Usos reservados para consulta in situ,,,,,,,,,,,,
MXIM-AV-1-11-94-1,Y vino el remolino 1910-1914,Usos reservados para consulta in situ,,Español,,,,,,blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-94-2,Se está volviendo gobierno 1915-1919,Usos reservados para consulta in situ,,Español,,,,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-95,"Los orígenes de la cinematografía científica, vol. 2",Usos reservados para consulta in situ,,Español,,,,1 vhs,copia de producción ,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-96,Lyrical Nitrate (Nitrato lírico),Usos reservados para consulta in situ,,,,,,1 vhs / 1 dvd,copia,Blanco y negro,,NTSC,,
MXIM-AV-1-11-97," Ávila Camacho, el general caballero",Usos reservados para consulta in situ,,Español,,,,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-98,Mãos á obra em Brasília (Manos a la obra en Brasilia),Usos reservados para consulta in situ,,Portugués,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-99,"Marcos, Marcos…",Usos reservados para consulta in situ,"Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862",Español,,,DVD,1 vhs / 1 dvd ,vhs copia / dvd copia de producción ,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-100,Matilde Landeta,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-101,Memorias de cá e de lá - Paranoá/DF,Usos reservados para consulta in situ,,Portugués,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-102,Memorias de un mexicano,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs ,copias de producción,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-103,Memorias do Mundo,Usos reservados para consulta in situ,,Portugués,,,VHS,1 vhs / 1 dvd ,copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-104,Memórias em construcao no centro oeste brasileiro. A expedição roncador xingú,Usos reservados para consulta in situ,,Portugués,,,VHS,1 vhs / 1 dvd,vhs copia de producción / dvd copia,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-105,"Méliès, el mago del cine",Usos reservados para consulta in situ,,Francés,,,VHS,1 vhs / 1 dvd ,copia,"Color, Blanco y negro",Dolby,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-106,México 68,Usos reservados para consulta in situ,,Español,,,DVD,2 dvd / 1 vhs ,1 dvd  y 1 vhs copia de producción / 1 dvd copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-107,"México, ciudad de ciudades: El Centro Histórico",Usos reservados para consulta in situ,,Español,,,,,,Color,Estéreo,NTSC,,
MXIM-AV-1-11-108,Mi Multi es mi Multi. Historia oral del Multifamiliar Miguel Alemán (1949-1999),Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,copia de producción,"Color, Blanco y negro",,NTSC,Región 4,Reproductor VHS y monitor
MXIM-AV-1-11-109,Montoneros: Una historia,Usos reservados para consulta in situ,,Español,,,VHS,2 vhs /  1 dvd ,1 vhs copia de producción / 1 vhs y 1 dvd copias,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-110,Mother Dao The turtlelike,Usos reservados para consulta in situ,,,,,,1 vhs / 1 dvd ,copia,"Color, Blanco y negro",,,,
MXIM-AV-1-11-111,Museo Nacional de Culturas Populares a la luz de nuestra diversidad,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-112,Díaz Ordaz y el 68,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-113,"No me parezco a nadie, La vida de Pedro Infante",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-114,Altos hornos Zapla,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,"Color, blanco y negro",,PAL,,Reproductor VHS y monitor
MXIM-AV-1-11-115,O Velho Capoerista. Mestre Joao Pequeño de Pastinha ,Usos reservados para consulta in situ,,Portugués,,,VHS,,,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-116,Otomíes del Valle del Mezquital,Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-117,Paixao e Guerra no Sertao de Canudos,Usos reservados para consulta in situ,,Portugués,,,VHS,,,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-118,Palacios en peligro. Las salas cinematográficas de la Ciudad de México,Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-119,Palestina do norte o araguaia passa por aqui,Usos reservados para consulta in situ,,Portugués,,,VHS,,,Color,Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-120,Photo Wallahs,Usos reservados para consulta in situ,,"Indú, inglés",,Inglés,DVD,,,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-11-121,"Polifonias. Paci é saluta, Michel Giacometti",Usos reservados para consulta in situ,,Portugués,,Francés,DVD,,,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-11-122,Por esos ojos,Usos reservados para consulta in situ,,Español,,,DVD / VHS,1  vhs / 1 dvd,vhs copia de producción / dvd copia ,Color,,NTSC,,Reproductor DVD / VHS y monitor
MXIM-AV-1-11-123,"Porfirio Díaz, Místico de la autoridad",Usos reservados para consulta in situ,,Español,,,DVD ,1  vhs / 1 dvd,vhs copia de producción / dvd copia ,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-124,Portraits d´Alain Cavalier (2a parte),Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-125,Preservación de colecciones fotográficas patrimoniales,Usos reservados para consulta in situ,,Español,,,,2 vhs / 1 dvd,1 vhs copia de producción / 1 vhs y 1 dvd copias,Color,,,,
MXIM-AV-1-11-126,Prigionieri della Guerra,Usos reservados para consulta in situ,,Italiano,,,VHS,1 dvd ,copia,Blanco y negro,,NTSC,,
MXIM-AV-1-11-127,"Puerto de ritmos, festival afrocaribeño. Veracruz '94",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-128,Querido Diario,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-129,"Radio II, la vida íntima de la radio",Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-130,Rá'mui rä ñähñu: Ya ny'ot eya nt'ohni/Rathoni tho'tsi ra ñähñu/Ra m'ui ya ma'yo,Usos reservados para consulta in situ,,Ñähñu,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-131,100 Years Greenland on Film ,Usos reservados para consulta in situ,,"Inglés, danés",,Inglés,,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, Blanco y negro",Estéreo,NTSC,,
MXIM-AV-1-11-132,Ruben Jaramillo 1900-1962 una historia mexicana,Usos reservados para consulta in situ,"Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862230, ediciones@pentagrama.com.mx",Español,,,DVD,1 dvd ,copia de producción,Color,,,Multiregión,Reproductor DVD y monitor
MXIM-AV-1-11-133,Sáname con tu poder. Medicina tradicional mixe,Usos reservados para consulta in situ,,"Mixteco, español",,Español,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-134,Los teatros del pueblo,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
