DÉCADA 1930-1939,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-5-1,Á propos de Nice,Usos reservados para consulta in situ,,Pelicula muda,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-2,Coal Face,Usos reservados para consulta in situ,,Inglés,,,DVD,,,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-3,Triumph des willens,Usos reservados para consulta in situ,,Alemán,Español (España),Inglés,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-4,Housing Problems,Usos reservados para consulta in situ,,Inglés,,,,1 dvd,copia,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-5-5,"La natation par Jean Taris champion de France (Taris, rey del agua)",Usos reservados para consulta in situ,,Francés,,Alemán,DVD,1 dvd,,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-6,Las hurdes,Usos reservados para consulta in situ,,Inglés,,Español,VHS," 1 dvd, 1 vhs",copia,Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-5-7,Night Mail,Usos reservados para consulta in situ,,Inglés,,,," 1 dvd, 1 vhs",copia,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-5-8,The Plow That Broke the Plains ,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-9,The river,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-10,The spanish earth,Usos reservados para consulta in situ,,Inglés,,Español,VHS," 1 dvd, 1 vhs","1 vhs copia de producción, 1 vhs y 1 dvd copia",Blanco y negro,Estéreo,NTSC,,"reproductor VHS, DVD y monitor"
MXIM-AV-1-5-11,Tri pesni o Lénine,Usos reservados para consulta in situ,,Ruso,,Inglés,DVD,1 dvd,copia ,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel,Usos reservados para consulta in situ,,Inglés,,,,2 dvd ,copia,Blanco y negro,,NTSC,,
MXIM-AV-1-5-13,Un pioniere del cinema scientifico. Roberto Omegna 1876-1948,Usos reservados para consulta in situ,,Italiano,,,DVD," 1 dvd, 1 vhs",copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,Blanco y negro,Muda,,,Reproductor DVD y monitor
MXIM-AV-1-5-16,Barong-Kèkèt-Tanz auf Bali (Danza Barong-Keket en Bali),Usos reservados para consulta in situ,,,,,VHS / DVD,"1 dvd, 1 vhs",Copia,Bblanco y negro,Sin sonido,NTSC,,"Reproductor VHS, DVD y monitor"
