 DÉCADA 2000-2009,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Distribuidora,Productor,Historia Institucional,Reseña biográfica de realizador,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-12-1,Chris by Chris,,,,,,,
MXIM-AV-1-12-2,Adio Kerida,Universuty of Michigan,,Ruth Behar. Productora asociada: Catherine Benamou,,,,
MXIM-AV-1-12-3,A grande experiencia,TV UNISINOS/Agencia Española de Cooperación Internacional-Ministerio de Relaciones Exteriores de España.,,Dedé Ribeiro," Entendendo comunicação como processo de circulação e construção de sentidos entre produção e recepção, um veículo de massa só existe se for legitimado pelo público.Por essa razão a TV Unisinos quer pensar junto com seu público, o telespectador.Temos compromisso com o desenvolvimento regional, a promoção da cultura, da identidade local e a socialização dos bens do conhecimento, gerando e difundindo informação.http://www.unisinos.br/tv/index.php?option=com_content&task=view&id=48&Itemid=141&menu_ativo=active_menu_sub&marcador=141",,,2001
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935",,Filmoteca de Andalucía,"Gonzalo Sáenz de Buruaga, Piluca Baquero Val Del Omar",,,,
MXIM-AV-1-12-5,Al otro lado,Altamura Films,,"Tommaso Fiacchino, Kent Rogowski",,,,
MXIM-AV-1-12-6,A propósito de Buñuel,"Cero en Conducta, Producciones Amaranta, Fondo para la Producción Cinematográfica de Calidad, Filmoteca de la UNAM, Televisión Española, Cadena de Arte-Francia, Laura Imperiale, Silvia Martínez, Juliette Buñuel, Jessica Berman.",Big Time pictures,,,"José Luis López-Linares, co-fundador en 1994 junto a Javier Rioyo de la PRODUCTORA DE CINE CERO EN CONDUCTA ha desarrollado las facetas de director, productor ejecutivo,  director de fotografía en cine y publicidad.  Como director de fotografía cuenta con una larga lista de largometrajes: Pajarico de Carlos Saura; La Celestina de Gerardo Vera; Madregilda de M: F: xxxxxxxxx; Palace de El Tricicle; Los peores años de nuestra vida y Amo te cama rica de Emilio Martínez-Lázaro; El Sol del Membrillo, de Víctor Erice; Una Mujer bajo la lluvia de Gerardo Vera; Caídos del cielo y la Boca del Lobo de Francisco Lombardo o El Hombre que Perdió su Sombra de Alain Tanner, entre otros. Ha trabajado en teatro y ópera con Carlos Saura. Javier Rioyo (Madrid, 1952) es licenciado en Ciencias de la Información. Periodista, escritor, director y guionista de cine, radio, televisión y dramáticos. Dirige y presenta el programa semanal de libros Estravagario en TVE 2, con el que ha obtenido el Premio Fomento a la Lectura 2005, concedido por la Federación del Gremio de Editores de España. También es responsable de cultura y libros en el programa diario Hoy por hoy de la cadena SER. Es colaborador habitual de El País (escribe para el suplemento semanal Domingo) y de la revista Cinemanía. Javier Rioyo, desde 1976 trabaja como guionista, periodista, de radio, televisión y dramáticos. Documentalista y ponente cultural del ministerio de Cultura. Dos premios Ondas en radio y uno en Televisión. En prensa ha sido columnista en “Tribuna” y asesor de dirección de cinemanía. Como director ha trabajado en “Asaltar los cielos” 1996, “A propósito de Buñuel” 200, “extranjeros de sí mismos”, 2000 y ha ganado la mención honorífica del festival de cine de Bogotá, 1997.",Compra,2005
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),Once TV-IPN,,Daniel G. Yubi,,,Donación,2004
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas", Foprocine/ Instituto Mexicano de Cinematografía (IMCINE)/ Pepa Filmss/ Universidad Nacional Autónoma de México (UNAM) , ,"Alejandra Sánchez, Vanessa Bauche",,"José Antonio Cordero, Alejandra Sánchez",,
MXIM-AV-1-12-9,Black-Blob,BLOB-RAI,,BLOB-RAI,,,Donación,1999
MXIM-AV-1-12-10,Blanco encalada. La historia sumergida,,,,,,,
