 DÉCADA 1990-1999,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Productor ,Distribuidora,Historia Institucional,Reseña biográfica,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",Clío,"Martina Rangel, Adriana Rosique, Octavio Vázquez Mellado",,,,,
MXIM-AV-1-11-2,"Ora rindo, ora chorando",Museu de Etnología,,,,,,
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,"Palmeraie et désert, Canal +",Claudine Nougaret,,,,,
MXIM-AV-1-11-4,Más vale paso que dure,Instituto Mora,"Fernando Aguayo, Lourdes Roca",,,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,,
MXIM-AV-1-11-5,Alma del pueblo,Consejo Nacional para la Cultura y las Artes (CONACULTA)/ Dirección General de Culturas Populares,,Gary Pierre-Charles,"CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html)",,,
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",Editorial Clío,,,,,,
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,Con el corazón en la mano,,Fernando Altamirano,Productora independiente conformada a inicio de los años noventa,"Fernando Altamirano/Santiago Huerta/Jaime Beltrán/Ana Luisa Montes de Oca/Alberto Nulman: Equipo que conforma la Productora Independiente “Con el corazón en la mano”, recibieron la Mención honorífica especial en el Premio José Rovirosa, México, 1998 por el documental Amealco-USA. Alberto Nulman y Ana Luisa Montes de Oca: A partir de 1980 se registra su trayectoria cinematográfica, a partir de esa década se enfocan a la realización de series de televisión de temática científica y tecnológica. Actualmente ejercen en el cine documental como Director, Escritor, Editor y Productor. Entre una larga lista de producciones, destacan por su participación en el Festival Pantalla de Cristal 2003, en la Ciudad de México. Nominados como Mejor Director (Documental), Mejor Edición (Documental), Mejor Realización de Audio (Documental), Mejor AI (Documental) y  Alberto Nulman: Nominado Mejor Guión (Documental) por ""Román Piña Chan: Una versión del México Prehispánico"", Producido por Canal 22. Así como ""Chujum: una alternativa tradicional de manejo agroforestal en la selva lacandona"" en 2005, con el que participaron en el Premio Anaconda 2006 al video indígena amazónico, del Chaco y los Bosques Tropicales de América Latina y el Caribe. Dirigieron ""El misterio de la electricidad"" (24min) bajo producción de Ad Astra S.A. de C.V., Instituto de Física Unam, Tv Unam México, en 2006. Además ""¿Qué hace hoy un matemático?"" (27min) para TV UNAM y el Instituto de Matemáticas de la UNAM, México. (Cecilia Alcántara, LAIS)",Donación,1995
MXIM-AV-1-11-8,Amsterdam global Village,Pieter Van Huystee Film & TV,Claudia Weinbeck,Prodimag,,,,
MXIM-AV-1-11-9,A place called Chiapas,"Canada Wild Production, National Film Board of Canadá, British Columbia Film",,"Betsi Carson, Kirk Tougas y Nettie Wild",,,,
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,CUADRO A CUADRO Producciones,,Alejandro Huidobro,,,,
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),Costa do Castelo Filmes,,Costa do Castelo Filmes S.A,,,,
MXIM-AV-1-11-12,Baraka,Magidson Films,Mark Magidson,,,,,
MXIM-AV-1-11-13,Batalhas pelo Patrimonio Batalhas pela História,"Universidade de Sao Paulo (USP)/Universidade de Brasilia (UnB)/CEAM/NECOM/Facultad de Filosofia, letras e Ciencias Humanas (FFLCH)",,José Walter Nunes,,,Donación,2001
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,"Canal 6 de julio, A.C.",,"Nancy Ventura, José Alba, Miguel Salguero, Jesús Salguero","CANALSEISDEJULIO: Desde 1988 Canalseisdejulio ha producido más de cincuenta documentales acerca de la realidad política, económica y social de México ha dado voz a personas e integrantes de movimientos ignorados en los medios de comunicación comerciales y ha sido una alternativa informativa y de análisis para cientos de miles de mexicanos que no ven reflejados sus problemas, puntos de vista y aspiraciones en los medios de comunicación comerciales. Canalseisdejulio distribuye sus documentales de mano en mano porque la televisión mexicana permanece cerrada a toda expresión contraria a los intereses de la oligarquía que se ha adueñado del poder en México y porque la censura es práctica gubernamental cotidiana. No obstante esta desventaja, millones de mexicanos han contemplado los documentales realizados por este grupo y han sostenido su trabajo que, gracias a ese apoyo directo del espectador, realiza sus documentales con absoluta independencia. (http://www.canalseisdejulio.com/MexicoExistente.swf)",,,
MXIM-AV-1-11-15,Belovy; The Belovs,"Kossakovsky Film Production, IDFA",,,,,,
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,BLOB-RAITRE,,BLOB-RAITRE,,,Donación,1999
MXIM-AV-1-11-17,Buenavista Social Club,"Road Movies Filmproduktion, Berlin Road Movies, All Concert an Studio Recordings, a World Circuit Production",Zafra video S.A de C.V,Ry Cooder,,"Wilhelm Wenders,(Düsseldorf, Alemania,14 de Agosto 1945) Director y productor. Se ha distinguido por su cine vanguardista y simbólico. Estudió en la escuela de TV de cine de Munich, además de filosofía y medicina en la Universidad de Friburgo y pintura en París. Es uno de los directores más conocidos del Nuevo Cine Alemán, caracterizado muchas veces como el existencialista del movimiento. Temáticamente, sus películas intentan describir estados de la conciencia, como la soledad, la irresolución y la ansiedad, y analizan el impacto ambivalente de la cultura americana sobre la Alemania después de la Segunda Guerra Mundial. No hay ningún otro realizador alemán que haya tratado en forma tan extensa el tema de la presencia norteamericana en el inconsciente europeo. Su fascinación con la cultura americana comenzó en su niñez, cuando dicha cultura era una fuente de diversión para los alemanes occidentales deseosos de olvidar su propio pasado. Su primera película como profesional, THE GOALIE'S ANXIETY AT THE PENALTY KICK (1971), atrajo considerable atención de la crítica. Destacan sus películas Falso movimiento (1974), El amigo americano (1977), París-Texas (1984), Cielo sobre Berlín (premio Genius del cine europeo 1987), Hasta el fin del mundo (1991), ¡Tan lejos, tan cerca! (1993; segunda parte de Cielo sobre Berlín), Más allá de las nubes (1995, codirigida con M. Antonioni), El final de la violencia (1997), Buena Vista Social Club (1999) y El hotel del millón de dólares (1999), que ganó el Premio del Jurado en el Festival de Berlín del 2000.",Compra,2008
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),Centro de Estudos Avançados Multidisciplinares (CEAM)/Núcleo de Estudos do Centro-Oeste (NECO)/Centro de Produçao Cultural e Educativa (CPCE), , ,"O CEAM é uma instância da UnB de natureza acadêmica, gerido democraticamente e vinculado à Reitoria. O CEAM e seu regimento foram aprovados pela Resolução do Conselho Diretor da FUB em sua 295ª reunião , realizada em 10 de abril de 1986, e o Reitor Prof. Cristóvão Buarque o efetivou através do Ato da Reitoria Nº 105/86 de 29 de abril de 1986. O Diretor do CEAM é eleito pelos seus pares. Todos os Coordenadores de Núcleos Temáticos, reunidos, constituem o Conselho Deliberativo que indica por eleição, um de seus membros para que seja nomeado pelo Reitor. (http://www.unb.br/ceam/webceam/historia.htm)",José Walter Nunes.,Donación,2001
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México",Institut für den Wissenschaftlichen Film,,,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),,,
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,Canal Seis de Julio,,Carlos Mendoza,,,Compra,9/01/2001
MXIM-AV-1-11-21,Chiapas. La historia continúa,"FONCA, Producciones Marca diablo, UAM-X",,,,,Compra,9/01/2001
MXIM-AV-1-11-22,"Chiapas, la otra guerra",Canal Seis de Julio,,"Esperanza Escamilla, Adriana García, Norma Madrid, alejandro Maravilla",,,,
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa","FONCA, Producciones Marca diablo, UAM-X",,,,,Compra,9/01/2001
MXIM-AV-1-11-24,Chile la memoria obstinada,L Office national du film du Canada et La Sept ARTE,,"Yves Jeanneau, Eric Michel",,,,
MXIM-AV-1-11-25,Chute Libre,"Sveriges televisión kanal 1, Documentar Manharen y Film film HB", , ,,"Mikael Wiström Estocolmo, 1950. Realizó estudios superiores en historia de la economía, antropología social y ciencias políticas. Tras trabajar como fotógrafo y periodista, en 1981 se licenció en dirección cinematográfica por el Dramatiska Institutet (Instituto Sueco de Artes Dramáticas). Desde entonces, trabaja activamente como escritor, director, productor, fotógrafo, montador, profesor en escuelas de arte y cine, guionista y ayudante en numerosas producciones. Sus realizaciones propias son, en su mayoría, de tipo documental (Soft Landing of a Factory Worker, 1982; The Infight, 1985; The Other Shore, 1992-93; The Children of Wrath, 1996; Orpahanage 6, 2001); a excepción de un largometraje, Letter to Paradise (Brev till Paradiset, 1989). De 1996 a 2004 trabajó como profesor adjunto del Dramatiska Institutet de Estocolmo y, desde 2004, es conferenciante internacional en el área de realización documental a través de FOJO (Instituto de Educación Continuada para Periodistas con sede en Suecia). También tiene su propia productora: MÅNHAREN Film & TV. Su película Compadre obtuvo el Premio Cibeles al Mejor Largometraje en la 2ª Edición de DocumentaMadrid 2005. (http://www.documentamadrid.com/documentamadrid06/html/festival/jurados.php?seccion=1)",Donación,2001
MXIM-AV-1-11-26,Ciclo testimonios,Instituto Histórico de la Ciudad de  Buenos Aires,,,,,,
